time,time_avg,tc_num,opr
[1183.25|1189.36|1280.22|1711.71|1197.3],1312.37,131072,add
[2099.31|1921.32|1974.02|1891.24|3096.87],2196.55,262144,add
[2769.51|2742.53|2575.25|2709.13|3196.38],2798.56,393216,add
[3657.68|3704.82|4749.55|3391.71|3424.63],3785.68,524288,add
[4265.57|4348.23|4385.43|4310.41|4121.88],4286.3,655360,add
[5060.64|4984.07|4864.32|5090.24|4829.67],4965.79,786432,add
[5857.13|6044.38|5551.96|5720.15|5885.6],5811.84,917504,add
[6636.3|6412.99|6745.89|6392.03|6352.03],6507.85,1048576,add
[7236.14|7758.71|7360.09|7711.79|7240.23],7461.39,1179648,add
[8013.83|8332.78|8060.45|8030.21|8026.23],8092.7,1310720,add
[8681.11|9295.85|13015.28|11020.11|9332.73],10269.02,1441792,add
[10143.76|9996.04|9878.72|10057.48|9604.39],9936.08,1572864,add
[11026.75|10958.88|11022.67|10690.92|10338.64],10807.57,1703936,add
[11141.82|11250.54|11404.8|11150.02|11724.37],11334.31,1835008,add
[12222.35|20519.83|13754.83|13435.54|13200.7],14626.65,1966080,add
[17054.0|15017.29|14820.41|14333.21|14071.24],15059.23,2097152,add
[13858.25|13814.65|14842.87|13311.06|13567.32],13878.83,2228224,add
[14543.26|14655.25|14238.81|15377.07|14151.91],14593.26,2359296,add
[15981.88|15446.86|15022.13|15021.56|16833.8],15661.25,2490368,add
[16302.81|16169.9|15446.67|16827.17|15974.88],16144.29,2621440,add
[19655.93|16876.7|16329.9|16273.76|16232.59],17073.78,2752512,add
[18233.28|18095.52|17187.32|16929.35|16787.66],17446.63,2883584,add
[19608.01|18346.03|17992.39|17484.3|18076.57],18301.46,3014656,add
[19991.12|19336.08|18766.01|18499.38|18444.24],19007.37,3145728,add
[20959.13|20606.97|19342.77|19255.18|19132.5],19859.31,3276800,add
[20675.71|20223.08|20014.9|19903.67|21177.67],20399.01,3407872,add
[21799.61|22037.45|22964.59|23225.6|23805.79],22766.61,3538944,add
[24609.32|26766.28|21959.13|22530.31|21309.44],23434.9,3670016,add
[22472.36|23116.85|22445.89|22610.24|25416.89],23212.45,3801088,add
[25135.17|26271.6|23086.83|23075.76|23599.85],24233.84,3932160,add
[24408.77|24390.08|24311.85|24086.26|24102.93],24259.98,4063232,add
[25225.53|25043.08|24941.84|24723.23|24682.28],24923.19,4194304,add
[26674.28|26615.07|25388.22|25592.78|27244.51],26302.97,4325376,add
[27098.06|26064.83|25907.83|27691.1|26107.91],26573.95,4456448,add
[27571.68|28954.97|27165.24|26541.26|26731.43],27392.92,4587520,add
[30945.49|27828.63|27592.98|28967.62|27978.79],28662.7,4718592,add
[30524.89|31421.19|30652.57|28058.15|28546.71],29840.7,4849664,add
[36296.88|33217.52|33517.68|35145.18|30038.4],33643.13,4980736,add
[32458.94|31021.0|30062.74|30001.9|30891.41],30887.2,5111808,add
[32801.4|31194.53|31060.17|30505.31|31262.27],31364.74,5242880,add
[32296.38|31340.69|31549.35|31580.04|31359.76],31625.24,5373952,add
[34042.58|33314.85|31997.01|33703.6|33017.54],33215.12,5505024,add
