time,time_avg,tc_num,opr
[220.47|217.61|221.76|239.89|238.18],227.58,1024,div
[256.4|251.95|409.61|297.75|260.49],295.24,2048,div
[278.14|268.47|266.7|269.21|270.55],270.61,3072,div
[304.08|312.64|277.07|324.99|266.28],297.01,4096,div
[286.38|311.37|298.26|436.77|436.7],353.9,5120,div
[441.24|465.52|310.62|338.61|383.04],387.81,6144,div
[387.1|333.16|351.6|337.01|443.27],370.43,7168,div
[371.26|422.62|327.71|419.65|415.07],391.26,8192,div
[372.87|368.36|370.75|617.65|369.96],419.92,9216,div
[452.83|386.36|377.71|390.54|379.09],397.31,10240,div
[428.36|455.19|508.36|461.01|435.64],457.71,11264,div
[444.01|431.63|427.37|427.16|396.35],425.3,12288,div
[538.97|434.62|429.93|474.84|435.96],462.86,13312,div
[461.04|460.06|454.17|430.3|477.08],456.53,14336,div
[491.06|479.42|549.34|702.53|521.73],548.82,15360,div
[504.88|531.69|487.63|526.7|483.65],506.91,16384,div
[530.16|513.15|508.55|571.25|536.91],532.0,17408,div
[526.04|577.4|571.19|532.92|527.21],546.95,18432,div
[655.08|576.49|637.86|547.15|543.41],592.0,19456,div
[593.44|631.93|672.02|577.45|558.51],606.67,20480,div
[601.06|588.62|618.9|628.62|650.56],617.55,21504,div
[676.16|633.75|672.71|635.75|719.65],667.6,22528,div
[634.45|686.12|641.25|710.27|855.77],705.57,23552,div
[699.85|647.11|714.0|862.35|740.89],732.84,24576,div
[693.25|920.37|780.88|692.93|674.99],752.48,25600,div
[803.3|707.45|690.36|681.27|687.65],714.01,26624,div
[801.78|702.55|697.86|775.75|749.36],745.46,27648,div
[791.55|737.79|742.5|750.81|747.22],753.97,28672,div
[890.41|770.01|833.88|766.29|847.16],821.55,29696,div
[798.32|896.14|895.96|870.27|855.71],863.28,30720,div
[827.82|804.36|806.83|826.12|818.38],816.7,31744,div
[879.6|847.58|920.89|837.14|890.8],875.2,32768,div
[883.16|893.84|924.56|896.41|944.96],908.59,33792,div
[923.09|955.84|914.45|890.05|897.93],916.27,34816,div
[1199.71|984.49|882.85|931.45|880.5],975.8,35840,div
[931.92|1064.88|1385.41|1012.17|963.48],1071.57,36864,div
[1020.88|1066.47|955.21|1003.63|1005.54],1010.35,37888,div
[1023.75|1108.67|1028.44|1048.59|1147.98],1071.49,38912,div
[1058.65|1153.08|1059.72|1049.23|1042.62],1072.66,39936,div
[1056.81|1097.79|1045.47|1062.99|1129.67],1078.55,40960,div
[1130.25|1153.9|1194.82|1125.3|1122.16],1145.29,41984,div
[1143.4|1171.68|1125.61|1081.84|1181.21],1140.75,43008,div
[1157.03|1128.16|1135.55|1201.18|1174.57],1159.3,44032,div
[1302.03|1170.58|1189.18|1192.74|1381.23],1247.15,45056,div
[1261.41|1232.46|1214.62|1315.23|1191.71],1243.09,46080,div
[1265.3|1263.98|1242.76|1328.1|1266.7],1273.37,47104,div
[1290.46|1313.36|1366.09|1245.25|1299.78],1302.99,48128,div
[1251.82|1249.72|1320.41|1285.41|1386.09],1298.69,49152,div
[1438.45|1474.06|1338.75|1495.46|1422.45],1433.83,50176,div
[1415.72|1370.94|1406.27|1415.22|1357.24],1393.08,51200,div
[1436.48|1541.53|1386.95|1431.46|1391.69],1437.62,52224,div
[1525.71|1547.53|1466.48|1412.38|1441.33],1478.69,53248,div
[1543.35|1448.42|1572.1|1506.53|1539.73],1522.03,54272,div
[1450.17|1465.75|1605.65|1587.98|1461.4],1514.19,55296,div
[1515.77|1720.76|1490.55|1797.24|1493.16],1603.5,56320,div
[1640.73|1537.77|1523.36|1682.39|1660.95],1609.04,57344,div
[1603.64|1595.53|1685.78|1701.85|1636.25],1644.61,58368,div
[1681.01|1587.76|1643.17|1573.24|1706.38],1638.31,59392,div
[1797.29|1698.78|1646.22|1650.91|1844.74],1727.59,60416,div
