time,time_avg,tc_num,opr
[496.32|2361.7|169.93|513.68|192.82],746.89,128,modmul
[2394.23|2342.23|459.5|500.49|3054.88],1750.27,256,modmul
[756.01|2732.73|2580.53|775.69|2604.34],1889.86,384,modmul
[2622.81|858.5|2971.71|1109.29|672.64],1646.99,512,modmul
[5432.38|1141.17|1741.52|1356.3|2949.23],2524.12,640,modmul
[1457.65|1572.84|1400.66|3172.92|3153.79],2151.57,768,modmul
[3402.04|1888.03|1971.11|1392.36|3518.05],2434.32,896,modmul
[4267.02|4241.86|6191.7|4162.75|4018.03],4576.27,1024,modmul
[6154.61|5727.27|10161.91|10749.13|5844.33],7727.45,1152,modmul
[11055.87|5762.05|6031.61|10545.73|5757.41],7830.53,1280,modmul
[12490.38|7014.3|13255.83|15402.44|6844.04],11001.4,1408,modmul
[6263.63|15973.22|9236.36|6586.61|7419.95],9095.95,1536,modmul
[23700.28|26327.85|18614.05|9457.66|8769.23],17373.81,1664,modmul
[10467.84|18828.33|20094.62|10427.27|8021.64],13567.94,1792,modmul
[24759.87|25238.03|11932.37|21844.61|10387.81],18832.54,1920,modmul
[15713.16|27447.35|29309.15|15495.35|12575.79],20108.16,2048,modmul
[14301.89|51528.63|13464.12|14568.16|51845.25],29141.61,2176,modmul
[16182.33|51316.97|56216.73|15135.07|53946.48],38559.52,2304,modmul
[57093.25|15974.06|53415.03|59087.1|53968.6],47907.61,2432,modmul
[17608.95|20135.58|16302.71|17028.38|16336.24],17482.37,2560,modmul
[83903.24|18877.35|20983.37|74103.37|63954.76],52364.42,2688,modmul
[67725.59|18866.6|16717.2|19147.08|68874.44],38266.18,2816,modmul
[73558.08|22260.54|21212.17|74051.65|80980.84],54412.66,2944,modmul
[98660.04|89618.35|107573.71|59900.01|85547.51],88259.92,3072,modmul
[27180.21|30614.24|30151.62|26623.5|28442.58],28602.43,3200,modmul
[28981.34|94796.7|97714.23|30783.88|104420.02],71339.23,3328,modmul
[106133.51|33039.99|30201.49|31721.06|34368.82],47092.97,3456,modmul
[115579.39|56283.53|38144.18|39420.77|39980.16],57881.61,3584,modmul
[36746.18|44729.22|33633.59|39813.93|41155.51],39215.69,3712,modmul
[122909.57|35582.4|126076.34|123129.42|34842.79],88508.1,3840,modmul
[124386.77|145413.22|40682.31|40898.27|37091.18],77694.35,3968,modmul
[234466.86|222740.77|231851.98|254427.39|166405.42],221978.48,4096,modmul
[275245.44|56925.56|290011.75|64353.74|63844.43],150076.18,4224,modmul
[311235.59|61026.54|446151.23|85123.1|402835.32],261274.36,4352,modmul
[93538.79|104058.29|518916.67|997971.25|1015433.83],545983.77,4480,modmul
[96508.65|501322.77|99020.79|90618.93|92977.09],176089.65,4608,modmul
[98471.61|474549.34|441425.62|356644.78|363455.61],346909.39,4736,modmul
[446110.04|106371.48|101753.56|83834.26|105032.74],168620.42,4864,modmul
[352220.14|403059.85|94239.38|394568.81|86199.71],266057.58,4992,modmul
[97794.82|378633.72|418811.63|103102.64|103051.09],220278.78,5120,modmul
[499246.57|466142.49|84581.32|441124.14|511421.9],400503.28,5248,modmul
[98986.38|529068.02|450083.94|97074.79|416335.53],318309.73,5376,modmul
