time,time_avg,tc_num,opr
[251.35|242.06|257.26|286.26|285.51],264.49,1024,mul
[346.15|294.02|283.23|282.8|269.96],295.23,2048,mul
[338.6|331.91|356.99|345.45|365.4],347.67,3072,mul
[405.59|420.3|413.89|406.57|482.61],425.79,4096,mul
[509.47|532.94|523.19|511.72|512.59],517.98,5120,mul
[628.11|604.5|607.52|660.5|603.39],620.8,6144,mul
[753.38|833.72|794.31|760.95|752.12],778.9,7168,mul
[888.54|908.35|915.93|1074.02|867.0],930.77,8192,mul
[1000.36|1093.83|1031.37|1116.97|1137.82],1076.07,9216,mul
[1269.01|1304.5|1280.07|1226.05|1306.72],1277.27,10240,mul
[1670.37|1524.65|1426.15|1449.24|1414.82],1497.05,11264,mul
[1685.55|1873.8|1739.85|1697.2|1801.18],1759.52,12288,mul
[1920.03|2036.53|1969.98|1936.07|1904.05],1953.33,13312,mul
[2312.5|2164.62|2197.88|2298.98|2199.53],2234.7,14336,mul
[2499.35|2537.63|2550.95|2440.63|2639.86],2533.68,15360,mul
[3272.68|2702.35|2694.62|2665.43|2661.71],2799.36,16384,mul
[3003.15|3255.91|3216.84|3052.9|3020.68],3109.9,17408,mul
[3490.35|3315.96|3306.95|3614.55|3441.1],3433.78,18432,mul
[3849.04|3759.59|3803.82|3824.13|3905.87],3828.49,19456,mul
[4049.18|4249.92|4041.73|4244.26|4162.02],4149.42,20480,mul
[4778.75|4599.59|4489.44|4537.19|4776.82],4636.36,21504,mul
[5300.95|4888.99|5002.28|4956.09|4942.73],5018.21,22528,mul
[5498.89|5334.68|5392.41|5299.03|5419.94],5388.99,23552,mul
[5860.86|5766.95|5805.97|5939.98|5718.97],5818.55,24576,mul
[6158.87|6421.68|6297.7|6452.53|6313.81],6328.92,25600,mul
[6779.51|6628.18|6943.71|6783.64|6689.18],6764.84,26624,mul
[7247.42|7426.27|7382.66|7397.41|7272.22],7345.2,27648,mul
[7610.43|7978.47|8308.22|7894.84|8018.7],7962.13,28672,mul
[8248.52|8448.97|8347.17|8359.48|8290.54],8338.94,29696,mul
[8740.85|8886.91|9059.25|9144.79|9028.62],8972.08,30720,mul
[9864.6|9357.47|9374.89|9295.37|9328.23],9444.11,31744,mul
[9889.38|10237.38|10147.69|9997.17|9934.24],10041.17,32768,mul
[10524.94|10650.64|11437.47|10875.45|10400.54],10777.81,33792,mul
[11282.07|11297.71|11536.63|11416.31|11464.65],11399.47,34816,mul
[12073.32|12142.04|12373.59|11995.6|11861.49],12089.21,35840,mul
[12490.9|12766.35|13690.49|13291.35|12525.66],12952.95,36864,mul
[13492.83|13515.29|13288.67|13137.23|13280.63],13342.93,37888,mul
[14035.74|14286.12|14179.92|13848.27|13935.5],14057.11,38912,mul
[15161.96|15097.58|14778.48|14691.79|14686.01],14883.16,39936,mul
[15809.32|15541.47|15200.63|15395.24|15538.93],15497.12,40960,mul
[16413.05|16313.57|16206.05|15997.98|16089.56],16204.04,41984,mul
[17176.34|17091.4|17023.93|17084.74|16703.33],17015.95,43008,mul
[17939.96|18077.55|18041.84|17598.1|17427.87],17817.06,44032,mul
[18986.71|18947.66|18481.2|18277.59|18477.88],18634.21,45056,mul
[19481.72|19542.88|19649.15|19020.31|19197.59],19378.33,46080,mul
[20351.46|20512.54|20076.75|19798.03|20382.89],20224.33,47104,mul
[21530.77|21546.18|21397.81|20927.24|21016.02],21283.6,48128,mul
[21895.79|22673.05|22035.77|21658.28|21804.69],22013.52,49152,mul
[22876.75|23219.33|23140.3|22438.34|22814.62],22897.87,50176,mul
[23845.82|24102.05|23527.93|23555.26|24665.6],23939.33,51200,mul
[25058.55|24875.87|25023.83|24647.55|24759.97],24873.15,52224,mul
[26256.2|26145.69|25875.1|26475.12|25554.83],26061.39,53248,mul
[26862.62|26626.31|26719.58|26441.75|26396.11],26609.27,54272,mul
[27897.58|27833.74|27363.83|28110.17|27746.89],27790.44,55296,mul
[29412.59|28875.44|28711.15|28557.08|28369.59],28785.17,56320,mul
[29747.49|29604.64|29920.17|29371.97|29472.78],29623.41,57344,mul
[31051.84|30683.55|30215.86|30693.37|30681.58],30665.24,58368,mul
[32506.21|32236.0|31296.4|31295.69|31731.89],31813.24,59392,mul
[33610.36|33239.24|32799.92|32978.93|32350.6],32995.81,60416,mul
[34405.29|33850.32|34107.98|35474.86|37986.68],35165.03,61440,mul
[57252.78|40676.86|39195.61|38894.91|39051.4],43014.31,62464,mul
[40516.81|40230.65|40305.1|40453.12|40393.44],40379.82,63488,mul
[41674.43|41706.2|41530.62|41898.26|41707.33],41703.37,64512,mul
[43336.16|43612.99|42702.82|45018.55|42866.78],43507.46,65536,mul
[44879.27|44468.93|44485.57|44048.81|44553.53],44487.22,66560,mul
[45990.6|45625.77|45407.97|45739.03|46018.79],45756.43,67584,mul
[46852.02|46349.5|45897.06|42902.62|42051.39],44810.52,68608,mul
[43743.41|48147.49|44701.4|43619.36|43105.83],44663.5,69632,mul
[44815.97|45244.92|44657.29|44568.74|44325.5],44722.48,70656,mul
[46595.42|45813.53|45867.0|47271.16|46047.56],46318.93,71680,mul
[48427.95|47098.21|47433.27|47078.56|47347.22],47477.04,72704,mul
[49102.93|48537.63|48308.4|48356.06|48184.5],48497.9,73728,mul
[50290.04|49572.31|50311.05|51349.22|49784.48],50261.42,74752,mul
[52462.21|51403.56|51637.69|50442.29|50996.99],51388.55,75776,mul
[52785.17|51647.91|52276.6|52672.95|52092.04],52294.93,76800,mul
[54540.3|53366.1|54124.58|53929.07|54268.11],54045.63,77824,mul
[56346.27|54862.85|55173.48|55352.51|55361.55],55419.33,78848,mul
[57077.36|56750.08|56392.33|57140.96|56650.44],56802.23,79872,mul
[59154.0|58167.76|57585.96|57950.87|58604.69],58292.66,80896,mul
[60652.82|59893.5|59357.49|59383.66|59427.53],59743.0,81920,mul
[62018.31|61143.99|60944.7|61937.36|61070.11],61422.89,82944,mul
[63793.76|62299.28|62518.6|62225.06|62818.72],62731.08,83968,mul
[64721.86|63659.46|63989.39|64207.48|63980.79],64111.8,84992,mul
[66514.67|65363.43|65833.33|66999.71|65636.82],66069.59,86016,mul
[68125.16|67037.31|67874.42|66601.96|66513.87],67230.54,87040,mul
[70192.03|71245.12|68537.48|69187.28|68445.3],69521.44,88064,mul
[71373.95|71095.54|70132.53|70928.52|70023.49],70710.81,89088,mul
[72231.87|71952.28|72072.88|71833.04|71940.41],72006.1,90112,mul
[74230.69|73112.6|73091.35|73230.43|73083.91],73349.8,91136,mul
[75489.45|75278.08|75187.21|74993.55|74922.46],75174.15,92160,mul
[78118.96|77437.48|76514.83|77210.09|76893.3],77234.93,93184,mul
[79158.19|78330.28|78143.93|78665.16|78766.59],78612.83,94208,mul
[80607.57|80520.15|80511.42|79701.24|80635.75],80395.23,95232,mul
[82694.7|81708.39|81402.53|82108.96|82659.78],82114.87,96256,mul
[83461.25|83271.9|83474.46|83418.32|84021.38],83529.46,97280,mul
[85615.95|86429.35|85252.32|85800.9|85616.98],85743.1,98304,mul
[88015.47|86714.23|87109.94|87863.62|88251.63],87590.98,99328,mul
[89656.8|89331.49|90939.34|90278.65|89084.1],89858.08,100352,mul
[90694.11|91984.09|90594.61|91884.54|89626.78],90956.83,101376,mul
[93034.72|93333.67|92180.51|93092.71|92428.24],92813.97,102400,mul
