time,time_avg,tc_num,opr
[247.61|246.47|237.94|239.0|228.08],239.82,512,div
[325.1|341.52|347.33|509.54|233.34],351.37,1024,div
[278.79|264.75|224.04|356.54|354.35],295.69,1536,div
[382.05|317.36|596.03|322.43|288.04],381.18,2048,div
[263.31|236.19|268.35|260.74|283.59],262.44,2560,div
[332.72|339.1|253.57|293.36|271.58],298.07,3072,div
[279.34|303.2|330.18|341.09|255.2],301.8,3584,div
[281.75|350.9|272.41|357.39|334.83],319.46,4096,div
[348.6|290.44|272.63|288.99|290.48],298.23,4608,div
[507.48|364.74|308.04|307.59|297.78],357.13,5120,div
[312.43|305.26|308.49|295.17|346.81],313.63,5632,div
[321.53|323.52|346.81|314.29|314.49],324.13,6144,div
[326.13|323.54|347.32|331.0|337.19],333.04,6656,div
[368.05|372.55|339.22|338.22|332.4],350.09,7168,div
[348.34|335.42|359.78|342.03|386.72],354.46,7680,div
[392.66|348.26|345.21|345.62|363.85],359.12,8192,div
[398.99|365.0|359.24|418.4|351.87],378.7,8704,div
[441.94|366.95|372.44|369.01|371.71],384.41,9216,div
[376.63|387.62|406.79|371.98|374.62],383.53,9728,div
[410.95|381.41|422.73|546.08|428.35],437.9,10240,div
[399.22|423.71|379.64|460.77|402.06],413.08,10752,div
[465.85|396.32|397.64|446.23|416.88],424.58,11264,div
[405.98|408.02|472.12|457.31|443.27],437.34,11776,div
[438.19|479.24|417.68|422.89|417.93],435.19,12288,div
[473.0|456.65|425.07|411.32|407.01],434.61,12800,div
[447.11|416.68|559.84|420.35|419.01],452.6,13312,div
[450.55|513.77|465.34|456.39|451.14],467.44,13824,div
[462.66|456.04|454.66|491.58|506.79],474.35,14336,div
[467.14|458.8|518.08|471.39|460.33],475.15,14848,div
[542.0|471.03|477.28|502.81|536.27],505.88,15360,div
[480.01|490.36|478.05|471.8|483.25],480.69,15872,div
[548.25|520.46|536.58|498.66|536.04],528.0,16384,div
[564.87|529.89|501.24|492.29|503.45],518.35,16896,div
[506.79|513.07|520.59|516.26|520.28],515.4,17408,div
[523.28|524.59|722.12|582.42|549.0],580.28,17920,div
[583.37|534.33|538.97|532.22|560.11],549.8,18432,div
[559.32|547.25|550.72|583.1|568.9],561.86,18944,div
[552.51|551.51|559.51|754.83|563.09],596.29,19456,div
[575.94|553.5|633.96|559.71|590.37],582.7,19968,div
[572.42|565.85|576.83|623.13|591.14],585.87,20480,div
[618.11|598.27|641.34|580.77|629.05],613.51,20992,div
[649.59|622.21|589.23|672.78|585.34],623.83,21504,div
[660.2|604.67|670.55|620.33|669.65],645.08,22016,div
[680.73|690.36|633.1|649.23|614.72],653.63,22528,div
[673.74|614.34|700.72|628.09|729.93],669.36,23040,div
[640.5|686.35|640.12|688.33|644.49],659.96,23552,div
[649.94|850.15|655.17|657.94|628.86],688.41,24064,div
[666.9|713.25|672.67|671.94|661.91],677.33,24576,div
