time,time_avg,tc_num,opr
[240.19|207.37|200.28|206.96|233.17],217.59,1024,modexp
[236.08|216.61|273.81|240.77|244.82],242.42,2048,modexp
[286.1|273.61|268.3|268.2|276.16],274.47,3072,modexp
[333.17|497.1|344.43|305.61|310.92],358.25,4096,modexp
[401.15|390.77|389.08|404.49|399.44],396.99,5120,modexp
[424.9|568.06|470.89|508.42|464.03],487.26,6144,modexp
[518.78|733.0|477.48|518.4|512.24],551.98,7168,modexp
[507.64|556.78|637.45|507.22|513.73],544.56,8192,modexp
[800.62|799.36|853.73|965.48|807.35],845.31,9216,modexp
[815.38|775.06|845.22|808.29|848.09],818.41,10240,modexp
[1099.15|847.77|876.2|844.29|880.8],909.64,11264,modexp
[1064.81|866.39|905.89|869.28|912.53],923.78,12288,modexp
[971.36|965.28|1080.65|1088.23|992.67],1019.64,13312,modexp
[1101.38|985.03|1047.77|981.27|2072.65],1237.62,14336,modexp
[1072.32|1093.0|1048.11|1096.93|1066.81],1075.43,15360,modexp
[1150.89|1162.91|1246.84|1216.57|1186.73],1192.79,16384,modexp
[2000.16|1908.26|2291.05|1794.32|1789.68],1956.69,17408,modexp
[2014.37|2070.61|2184.56|1881.47|1883.52],2006.91,18432,modexp
[1882.83|1979.96|1943.5|1974.47|2103.66],1976.88,19456,modexp
[2066.28|2120.6|2110.18|1897.93|1890.91],2017.18,20480,modexp
[2094.53|2073.2|2081.74|2282.39|2036.35],2113.64,21504,modexp
[2091.8|2209.86|2382.53|2297.34|2203.04],2236.91,22528,modexp
[2185.46|2233.73|2242.72|2152.69|2206.57],2204.23,23552,modexp
[2311.44|2329.91|2231.83|2191.14|2156.81],2244.23,24576,modexp
[2504.08|2508.5|2422.9|2725.46|2615.96],2555.38,25600,modexp
[2527.51|2440.99|2461.59|2576.24|2519.69],2505.2,26624,modexp
[2573.08|2522.75|2602.59|2779.22|2515.65],2598.66,27648,modexp
[2696.8|2902.68|9912.43|3041.2|2611.13],4232.85,28672,modexp
[2981.58|2957.21|2865.07|2719.04|2923.83],2889.35,29696,modexp
[3001.35|2697.16|2799.83|3051.95|2732.25],2856.51,30720,modexp
[2797.51|2845.94|2849.95|2832.01|2841.3],2833.34,31744,modexp
[3100.7|3002.06|3492.18|3062.69|2902.73],3112.07,32768,modexp
[4950.39|5034.69|5017.56|5361.39|5178.2],5108.45,33792,modexp
[5141.85|5132.57|5008.98|4838.64|4956.83],5015.77,34816,modexp
[5086.14|5190.0|5218.11|5713.32|5317.77],5305.07,35840,modexp
[5336.94|5168.41|5240.26|5089.15|5199.19],5206.79,36864,modexp
[5378.08|5203.9|5747.27|5315.14|5155.01],5359.88,37888,modexp
[5293.91|5233.58|5628.73|5153.92|5502.44],5362.52,38912,modexp
[5351.94|5678.02|5513.81|5580.24|5428.08],5510.42,39936,modexp
[5251.36|5281.94|5381.18|5468.31|5498.42],5376.24,40960,modexp
