time,time_avg,tc_num,opr
[251.03|240.35|249.34|248.78|243.29],246.56,1024,mul_recursive
[466.1|474.41|499.27|549.35|475.46],492.92,2048,mul_recursive
[583.37|511.24|594.5|646.91|615.51],590.31,3072,mul_recursive
[591.87|503.9|592.89|521.37|606.36],563.28,4096,mul_recursive
[613.24|596.01|569.84|555.57|615.4],590.01,5120,mul_recursive
[566.42|548.93|560.07|582.11|613.7],574.25,6144,mul_recursive
[711.57|716.55|775.26|779.2|999.77],796.47,7168,mul_recursive
[592.76|722.77|597.33|655.42|579.68],629.59,8192,mul_recursive
[771.39|755.25|789.17|770.84|1018.77],821.08,9216,mul_recursive
[808.78|778.24|1034.16|995.23|821.65],887.61,10240,mul_recursive
[833.6|791.49|1034.86|798.78|951.39],882.02,11264,mul_recursive
[829.13|807.03|791.38|854.41|891.66],834.72,12288,mul_recursive
[839.25|854.57|1137.72|1053.1|878.76],952.68,13312,mul_recursive
[883.97|977.89|862.65|1394.18|1261.4],1076.02,14336,mul_recursive
[1935.65|1230.71|988.2|935.57|905.85],1199.2,15360,mul_recursive
[977.49|1172.37|1019.03|911.03|958.6],1007.7,16384,mul_recursive
[1373.98|1398.1|1978.42|1347.69|1353.26],1490.29,17408,mul_recursive
[1386.99|1402.94|1422.12|1497.85|1402.92],1422.56,18432,mul_recursive
[1457.63|1388.51|1446.62|1644.61|1469.27],1481.33,19456,mul_recursive
[1408.13|1409.64|1424.23|1401.97|1603.34],1449.46,20480,mul_recursive
[1459.07|1514.7|1400.49|1779.93|1433.66],1517.57,21504,mul_recursive
[1468.97|1467.95|1453.8|1490.51|1770.2],1530.29,22528,mul_recursive
[1709.05|1568.48|1578.45|1609.78|2068.89],1706.93,23552,mul_recursive
[1768.87|1531.37|1509.6|1522.69|1908.08],1648.12,24576,mul_recursive
[1879.76|1923.57|1883.09|1653.99|1970.13],1862.11,25600,mul_recursive
[2123.66|1746.53|1921.36|1656.65|2339.23],1957.49,26624,mul_recursive
[1802.92|1757.57|2127.09|1835.01|1790.65],1862.65,27648,mul_recursive
[2466.21|1737.2|1789.49|2050.96|2231.16],2055.0,28672,mul_recursive
[1890.34|1816.25|1812.19|2171.53|1985.53],1935.17,29696,mul_recursive
[2075.27|2206.75|2039.93|2111.85|2276.49],2142.06,30720,mul_recursive
[2101.0|2143.33|2117.41|2249.76|2427.97],2207.89,31744,mul_recursive
[2170.6|2028.84|2265.46|2146.42|2162.55],2154.77,32768,mul_recursive
[3332.49|3145.65|3262.96|3042.18|3091.95],3175.05,33792,mul_recursive
[3581.68|3195.5|3599.6|3072.43|3543.4],3398.52,34816,mul_recursive
[3112.01|3100.62|3427.3|3179.92|3229.11],3209.79,35840,mul_recursive
[4015.71|4176.11|3922.68|4390.2|3878.69],4076.68,36864,mul_recursive
[3899.9|4312.93|3945.1|3883.9|4209.74],4050.31,37888,mul_recursive
[4120.23|3901.3|4181.25|3909.61|3904.0],4003.28,38912,mul_recursive
[4280.61|4553.09|3969.52|4900.46|4294.35],4399.61,39936,mul_recursive
[4155.78|5046.01|4038.96|4350.41|4533.84],4425.0,40960,mul_recursive
[4318.32|5545.67|3442.72|3423.96|3536.61],4053.46,41984,mul_recursive
[3670.95|3464.65|3500.35|3591.34|3465.11],3538.48,43008,mul_recursive
[3513.94|3614.92|3501.87|3454.55|4061.34],3629.32,44032,mul_recursive
[3635.8|3555.08|3777.63|3553.81|3529.9],3610.44,45056,mul_recursive
[3651.88|4290.73|3704.6|3877.6|3731.92],3851.35,46080,mul_recursive
[3988.15|4266.42|3870.23|4029.15|3746.03],3980.0,47104,mul_recursive
[3809.5|3983.41|3885.61|4223.3|4192.09],4018.78,48128,mul_recursive
[3784.97|3755.52|3731.73|4028.21|3830.6],3826.21,49152,mul_recursive
[3841.21|4094.76|3894.07|4064.97|4049.1],3988.82,50176,mul_recursive
[4123.7|3898.76|3897.82|3924.62|3909.91],3950.96,51200,mul_recursive
[3972.83|4417.02|3978.27|4123.72|3980.93],4094.55,52224,mul_recursive
[4437.5|4484.15|4197.59|4177.27|4045.09],4268.32,53248,mul_recursive
[4363.82|4105.58|4418.66|4483.36|4111.42],4296.57,54272,mul_recursive
[4693.4|4636.3|4578.77|4239.89|4393.71],4508.41,55296,mul_recursive
[4376.35|4593.22|4557.78|5116.17|4472.7],4623.24,56320,mul_recursive
[4663.07|4670.08|4419.52|4402.97|4612.52],4553.63,57344,mul_recursive
[4645.97|5391.65|4577.18|4813.85|4914.05],4868.54,58368,mul_recursive
[4760.27|5665.69|4681.52|5152.78|4766.11],5005.27,59392,mul_recursive
[5262.78|5214.6|4984.11|5415.76|4890.7],5153.59,60416,mul_recursive
[5205.03|5540.56|5020.09|5378.35|5215.88],5271.98,61440,mul_recursive
[5321.39|5197.59|5441.17|5505.58|5531.72],5399.49,62464,mul_recursive
[5986.76|5525.88|5583.81|5146.95|5308.99],5510.48,63488,mul_recursive
[5577.52|5542.7|5570.86|6081.9|5897.29],5734.05,64512,mul_recursive
[5733.54|5211.46|5482.54|5310.98|5422.2],5432.14,65536,mul_recursive
[8183.6|8773.16|7927.12|8131.43|7932.56],8189.57,66560,mul_recursive
[8031.68|8398.47|7877.48|8529.42|7939.72],8155.35,67584,mul_recursive
[7940.82|8311.24|8114.0|8038.84|7978.12],8076.6,68608,mul_recursive
[8018.66|8276.86|10686.26|10245.66|10499.76],9545.44,69632,mul_recursive
[10932.07|10826.68|10383.67|10161.77|10166.42],10494.12,70656,mul_recursive
[10171.42|8087.81|7992.41|8005.89|7956.09],8442.72,71680,mul_recursive
[8032.5|8071.01|8280.97|8299.62|8557.65],8248.35,72704,mul_recursive
[8545.69|8150.55|8192.03|8115.3|7987.68],8198.25,73728,mul_recursive
[8332.7|8226.66|8639.71|8345.95|8292.76],8367.56,74752,mul_recursive
[8403.12|8378.42|8271.68|8610.1|8202.94],8373.25,75776,mul_recursive
[8339.29|8429.75|8517.36|8443.5|8434.68],8432.92,76800,mul_recursive
[8679.05|8355.84|8331.99|8501.9|8512.75],8476.31,77824,mul_recursive
[8460.11|8800.08|9227.43|8930.19|8455.4],8774.64,78848,mul_recursive
[8702.26|8894.28|8812.26|8842.89|8586.92],8767.72,79872,mul_recursive
[8529.35|8706.55|9014.09|8679.25|8663.43],8718.53,80896,mul_recursive
[8761.58|8807.13|8715.77|8520.93|8551.57],8671.4,81920,mul_recursive
[9179.68|9486.33|9688.81|9231.25|9440.42],9405.3,82944,mul_recursive
[10735.19|9177.16|9189.83|9131.42|9244.8],9495.68,83968,mul_recursive
[9573.26|9483.06|9454.38|9625.5|9260.51],9479.34,84992,mul_recursive
[9331.67|9434.01|9560.82|9212.28|9366.79],9381.11,86016,mul_recursive
[9499.8|9293.97|9481.97|9562.25|9403.14],9448.23,87040,mul_recursive
