time,time_avg,tc_num,opr
[247.74|299.58|263.68|247.07|236.94],259.0,1024,sqr
[264.69|281.52|294.32|258.13|258.23],271.38,2048,sqr
[482.25|466.71|507.31|472.5|535.77],492.91,3072,sqr
[328.44|307.72|309.26|316.1|351.0],322.5,4096,sqr
[545.85|547.38|692.05|588.69|595.75],593.94,5120,sqr
[580.51|573.21|561.09|538.74|619.95],574.7,6144,sqr
[656.38|1033.87|646.0|635.32|618.92],718.1,7168,sqr
[496.88|504.03|611.82|473.34|526.32],522.48,8192,sqr
[820.42|834.54|818.57|786.3|805.44],813.05,9216,sqr
[946.62|823.41|813.19|771.44|789.17],828.77,10240,sqr
[824.16|980.13|960.6|805.91|895.89],893.34,11264,sqr
[822.84|809.99|767.27|758.16|769.85],785.62,12288,sqr
[1245.18|893.14|1188.12|865.93|869.86],1012.45,13312,sqr
[927.74|1210.18|1301.9|912.23|873.48],1045.11,14336,sqr
[909.67|1001.77|957.01|1327.03|1262.98],1091.69,15360,sqr
[967.63|948.93|1142.41|871.82|984.0],982.96,16384,sqr
[1367.03|1460.74|1521.84|1388.96|1346.48],1417.01,17408,sqr
[2134.01|1754.37|1485.82|1444.87|1380.52],1639.92,18432,sqr
[1469.43|1456.79|1407.66|1397.0|1456.86],1437.55,19456,sqr
[1443.63|1719.99|1696.83|1476.22|1462.75],1559.88,20480,sqr
[1462.73|1506.17|1520.51|1455.39|1420.14],1472.99,21504,sqr
[1455.58|1479.78|1475.85|1429.63|1571.03],1482.37,22528,sqr
[1570.03|1915.59|1716.19|1582.5|1550.6],1666.98,23552,sqr
[1564.83|1545.58|1615.4|1606.76|1659.15],1598.34,24576,sqr
[1988.73|1938.6|1837.37|1833.71|1614.69],1842.62,25600,sqr
[1651.21|2108.75|1932.32|1702.82|1849.45],1848.91,26624,sqr
[1727.99|2026.81|1810.95|1936.44|1727.63],1845.96,27648,sqr
[2048.7|1860.4|1780.66|2450.38|2351.21],2098.27,28672,sqr
[2137.82|1938.42|2168.03|2116.88|1810.68],2034.37,29696,sqr
[1987.48|1898.66|1918.25|2578.83|2341.71],2144.99,30720,sqr
[2075.65|2067.61|2083.18|2089.44|2040.5],2071.28,31744,sqr
[2030.91|2166.73|2209.88|2163.98|2008.11],2115.92,32768,sqr
[3109.54|2994.46|3213.73|3004.05|3059.32],3076.22,33792,sqr
[3276.42|3066.1|3035.8|3168.09|3175.43],3144.37,34816,sqr
[3068.86|3185.39|3329.85|3150.83|3039.48],3154.88,35840,sqr
[3355.66|3120.1|3211.47|3076.72|3359.13],3224.62,36864,sqr
[3846.78|6187.5|4383.34|4016.36|4731.58],4633.11,37888,sqr
[4094.7|3920.48|6082.15|3938.23|4115.7],4430.25,38912,sqr
[3977.43|3966.12|5915.42|4082.65|3974.61],4383.25,39936,sqr
[4940.79|3960.19|4928.72|6219.62|4137.76],4837.42,40960,sqr
[4709.11|4204.23|4983.04|4839.45|4259.19],4599.0,41984,sqr
[3528.24|3390.8|3578.49|3609.38|3972.26],3615.83,43008,sqr
[3555.16|3506.41|3892.59|3478.33|3576.17],3601.73,44032,sqr
[3684.09|3658.81|3547.0|3621.27|3499.98],3602.23,45056,sqr
[3997.76|3622.51|3692.76|3664.46|4082.38],3811.97,46080,sqr
[3689.57|3724.68|3952.29|3945.99|3703.28],3803.16,47104,sqr
[3763.17|4096.56|3890.66|3720.51|3783.92],3850.96,48128,sqr
[3880.83|3791.71|3835.53|3970.49|3658.78],3827.47,49152,sqr
[3913.71|4025.32|3857.96|4020.65|3873.2],3938.17,50176,sqr
[3842.48|4459.37|4847.14|4145.16|4366.54],4332.14,51200,sqr
[4012.3|3939.87|4037.95|4323.32|4192.43],4101.17,52224,sqr
[4711.14|4025.57|4330.96|4589.1|4000.09],4331.37,53248,sqr
[4025.94|5164.49|4103.11|4085.17|3998.92],4275.53,54272,sqr
[4219.62|4509.08|4487.38|4330.9|4351.09],4379.61,55296,sqr
[4537.91|4679.32|4978.54|4247.76|4093.33],4507.37,56320,sqr
[4351.6|4500.22|4459.12|5007.3|4365.08],4536.66,57344,sqr
[4636.07|4640.36|4877.56|4967.42|4851.88],4794.66,58368,sqr
[5222.09|4673.52|5155.96|5087.13|4829.13],4993.57,59392,sqr
[5134.53|5411.95|5096.81|5358.62|4874.46],5175.27,60416,sqr
[5672.71|6061.16|5341.18|5630.23|5468.52],5634.76,61440,sqr
[5193.76|4938.81|5427.76|5447.01|5699.9],5341.45,62464,sqr
[5656.89|5784.05|5287.46|5061.84|5723.09],5502.67,63488,sqr
[5769.5|5646.54|6228.37|5886.59|5820.85],5870.37,64512,sqr
[5349.55|5538.52|5448.28|5481.56|5458.15],5455.21,65536,sqr
[7930.82|8128.94|8040.73|7821.66|9328.28],8250.09,66560,sqr
[7894.8|9510.99|8401.92|7887.4|8124.31],8363.88,67584,sqr
[8105.45|9149.6|7949.11|7755.64|7870.98],8166.16,68608,sqr
[7806.07|8404.72|8359.58|7999.05|8128.43],8139.57,69632,sqr
[7756.08|9226.17|10444.31|10121.14|9391.66],9387.87,70656,sqr
[10742.78|10043.55|10144.76|10272.34|10244.42],10289.57,71680,sqr
[7931.9|8875.56|10530.09|11665.05|8610.79],9522.68,72704,sqr
[8036.16|8254.89|8212.45|7947.28|7964.2],8083.0,73728,sqr
[8106.68|8516.41|8223.74|8321.91|8336.72],8301.09,74752,sqr
[8267.27|8682.87|8311.01|8113.44|8193.28],8313.57,75776,sqr
[8183.02|8721.63|8376.89|8237.98|8364.85],8376.87,76800,sqr
[8289.2|8425.82|9475.82|8178.86|8345.16],8542.97,77824,sqr
[8300.08|8822.25|8886.94|8465.6|8449.4],8584.85,78848,sqr
[8542.44|8744.43|8494.22|8406.97|8378.46],8513.3,79872,sqr
[8453.38|8562.98|8700.65|8478.94|8632.18],8565.63,80896,sqr
[8510.35|8629.23|8528.03|8656.69|8657.08],8596.28,81920,sqr
[9041.94|9570.41|9193.55|9231.26|9645.72],9336.58,82944,sqr
[9235.27|9086.76|9376.43|9347.42|9046.3],9218.44,83968,sqr
[9356.65|9283.06|9100.41|9167.21|9225.4],9226.55,84992,sqr
[9367.03|9342.95|9261.31|9504.7|9219.94],9339.19,86016,sqr
[9301.4|9364.31|9411.4|9204.86|9384.44],9333.28,87040,sqr
[9429.02|9535.8|9623.17|9483.98|9286.68],9471.73,88064,sqr
[9682.84|9616.37|9438.98|9469.34|9317.5],9505.01,89088,sqr
[9424.6|9780.73|9384.61|9590.58|9408.66],9517.84,90112,sqr
[9657.61|10468.92|9735.1|9519.62|9407.46],9757.74,91136,sqr
[9583.26|9431.87|9831.67|10108.02|9639.43],9718.85,92160,sqr
[9913.39|9721.91|9695.24|9582.88|9896.99],9762.08,93184,sqr
[9850.74|10152.88|11691.31|10066.07|9687.6],10289.72,94208,sqr
[10222.06|9977.49|9979.81|11020.09|10102.63],10260.42,95232,sqr
[9948.31|9820.56|10193.01|10234.83|10141.3],10067.6,96256,sqr
[10196.68|10719.69|11087.34|10120.61|9901.59],10405.18,97280,sqr
[10047.38|10029.22|10143.23|11015.07|10001.99],10247.38,98304,sqr
[10090.07|10191.27|10309.0|10246.25|10016.95],10170.71,99328,sqr
[10466.06|10106.33|10104.2|10276.99|10479.78],10286.67,100352,sqr
[10172.75|10481.63|10555.88|10268.29|10096.31],10314.97,101376,sqr
[10427.78|10268.79|10917.63|10470.56|10291.03],10475.16,102400,sqr
