time,time_avg,tc_num,opr
[685978.49|665360.07|684177.69|673723.61|660364.9],673920.95,3200,modexp
[743975.01|720650.02|769166.83|778854.64|739548.47],750438.99,3328,modexp
[812593.66|810817.93|796655.95|861864.39|817148.96],819816.18,3456,modexp
[990063.68|1036957.93|989931.51|890250.81|879439.29],957328.64,3584,modexp
[981763.44|986926.18|988720.33|1021803.67|959388.02],987720.33,3712,modexp
[1195236.98|1088646.44|1183793.64|1104752.02|1058121.9],1126110.2,3840,modexp
[1231434.37|1124653.22|1203704.58|1192118.61|1142196.47],1178821.45,3968,modexp
[1420606.6|1426220.03|1418357.16|1440662.77|1399563.84],1421082.08,4096,modexp
[1534805.28|1543395.29|1511059.28|1512163.69|1526734.48],1525631.6,4224,modexp
[1616137.71|1607839.09|1608723.53|1626799.94|1599328.11],1611765.68,4352,modexp
[1724168.43|1726914.28|1734441.56|1771289.9|1729948.73],1737352.58,4480,modexp
[1822336.89|1853355.31|1843757.4|1832694.02|1889835.55],1848395.83,4608,modexp
[2068866.41|1945350.56|1981086.91|1967519.93|1975579.62],1987680.69,4736,modexp
[2082269.41|2089652.45|2127343.75|2062911.81|2097529.31],2091941.35,4864,modexp
[2183595.12|2220037.53|2207727.57|2201096.86|2184725.91],2199436.6,4992,modexp
[2400664.86|2315607.29|2381775.92|2348853.94|2392627.26],2367905.85,5120,modexp
[2515790.38|2509459.64|2567424.12|2685565.9|2660487.83],2587745.57,5248,modexp
[2725905.91|2626577.96|2791445.02|2659088.55|2742749.32],2709153.35,5376,modexp
[2868442.17|2883166.11|2835661.68|2851816.09|2821234.77],2852064.16,5504,modexp
[3049849.98|2979898.42|2978031.2|3006756.46|2989602.45],3000827.7,5632,modexp
[3168994.6|3196772.91|3132375.67|3192500.86|3147117.29],3167552.27,5760,modexp
[3301233.14|3311739.13|3271197.8|3330020.55|3301534.28],3303144.98,5888,modexp
[3522114.36|3494586.13|3519140.95|3485500.62|3546295.1],3513527.43,6016,modexp
[3790939.9|3756629.57|3721721.74|3747536.44|3754367.19],3754238.97,6144,modexp
[3989915.88|4007520.77|3967833.01|3968129.14|3962142.6],3979108.28,6272,modexp
[4183399.98|4144832.83|4114174.82|4135187.81|4192135.72],4153946.23,6400,modexp
[4333658.19|4405102.07|4357606.19|4385254.88|4299753.96],4356275.06,6528,modexp
