time,time_avg,tc_num,opr
[228.52|226.86|236.77|227.0|233.65],230.56,512,modmul
[258.85|246.57|269.98|270.2|294.5],268.02,1024,modmul
[477.14|472.73|510.84|510.25|588.25],511.84,1536,modmul
[555.88|573.29|731.04|551.01|531.25],588.49,2048,modmul
[631.81|614.15|670.85|682.33|697.27],659.28,2560,modmul
[575.46|594.61|577.63|566.98|569.11],576.76,3072,modmul
[1027.92|696.96|674.98|630.56|659.52],737.99,3584,modmul
[636.14|654.2|653.94|669.05|714.72],665.61,4096,modmul
[915.36|872.14|771.22|820.51|950.08],865.86,4608,modmul
[924.49|865.79|825.96|797.93|766.13],836.06,5120,modmul
[837.48|953.65|822.95|820.33|809.22],848.73,5632,modmul
[856.79|857.9|839.97|894.76|956.62],881.21,6144,modmul
[1270.38|1171.84|1012.87|1126.46|1126.3],1141.57,6656,modmul
[1017.43|1201.26|1145.61|1079.53|1082.92],1105.35,7168,modmul
[1092.45|1078.1|1183.72|1112.26|1056.73],1104.65,7680,modmul
[981.48|937.17|1170.9|1132.12|1048.42],1054.02,8192,modmul
[1227.11|1522.25|1236.39|1287.14|1375.87],1329.75,8704,modmul
[1284.47|1464.14|1256.28|1275.92|1271.82],1310.53,9216,modmul
[1307.96|1261.45|1661.4|1447.71|1233.55],1382.41,9728,modmul
[1264.56|1341.45|1360.92|1261.98|1276.74],1301.13,10240,modmul
[1410.96|1411.2|1306.96|1435.58|1435.93],1400.13,10752,modmul
[1332.77|1326.98|1393.3|1360.75|1478.93],1378.55,11264,modmul
[1443.03|1684.68|1621.04|1410.31|1616.41],1555.09,11776,modmul
[1475.75|1411.69|1405.91|1459.82|1513.34],1453.3,12288,modmul
[1624.97|1609.39|1456.0|1640.53|1829.21],1632.02,12800,modmul
[1592.43|1478.94|1569.2|1811.0|1837.3],1657.77,13312,modmul
[1929.02|1531.48|1522.44|2505.01|1800.37],1857.66,13824,modmul
[1629.28|1637.77|1817.68|1569.14|2069.34],1744.64,14336,modmul
[2088.45|1637.84|1629.24|1574.66|1736.56],1733.35,14848,modmul
[1803.6|1696.81|1925.92|2001.62|1982.18],1882.03,15360,modmul
[1788.66|1809.82|1749.75|2145.21|1997.34],1898.16,15872,modmul
[1789.63|1754.99|1718.46|1895.14|1756.17],1782.88,16384,modmul
[2250.32|2310.41|2734.89|2480.93|2520.33],2459.38,16896,modmul
[2270.7|2247.57|2427.61|2214.79|2204.26],2272.99,17408,modmul
[2513.57|2248.72|2456.25|2320.74|2278.31],2363.52,17920,modmul
[2349.7|2430.7|2278.32|2346.78|2395.11],2360.12,18432,modmul
[2542.67|2802.09|2631.58|3174.45|3095.52],2849.26,18944,modmul
