time,time_avg,tc_num,opr
[412.68|417.71|406.94|398.43|405.67],408.29,512,mul
[593.17|415.26|414.56|414.97|419.42],451.48,1024,mul
[474.3|447.26|526.94|486.15|513.62],489.65,1536,mul
[460.14|472.64|514.32|512.24|535.57],498.98,2048,mul
[537.7|494.51|479.06|477.64|615.92],520.97,2560,mul
[563.58|519.49|550.97|605.98|548.76],557.76,3072,mul
[574.33|531.99|553.61|526.1|569.81],551.17,3584,mul
[530.97|598.65|592.91|552.6|531.34],561.29,4096,mul
[599.8|595.32|919.8|1068.39|632.55],763.17,4608,mul
[693.52|663.35|709.67|690.58|627.67],676.96,5120,mul
[620.37|659.04|650.7|646.11|631.73],641.59,5632,mul
[674.7|704.83|664.47|818.07|720.12],716.44,6144,mul
[744.21|730.84|1122.0|697.98|775.53],814.11,6656,mul
[826.33|958.82|768.39|879.26|784.92],843.54,7168,mul
[915.21|1055.68|803.55|851.78|869.9],899.22,7680,mul
[844.09|888.33|808.54|873.37|836.35],850.14,8192,mul
[919.34|908.47|852.62|1028.56|1081.06],958.01,8704,mul
[963.02|941.46|988.07|1016.92|992.97],980.49,9216,mul
[1064.68|991.65|988.65|1239.09|1106.6],1078.13,9728,mul
[1082.52|1106.05|1116.09|1078.99|1179.45],1112.62,10240,mul
[1187.37|1199.89|1269.44|1363.47|1921.45],1388.32,10752,mul
[1320.27|1518.44|1495.19|1539.0|1183.33],1411.25,11264,mul
[1958.1|1368.93|1294.61|1249.62|1259.6],1426.17,11776,mul
[1287.1|1368.01|1626.55|1519.91|1325.19],1425.35,12288,mul
[1379.84|1367.17|1687.45|1468.41|1426.97],1465.97,12800,mul
[1454.34|1478.57|1476.42|1466.27|1487.56],1472.63,13312,mul
[2008.02|1772.71|1656.33|1548.26|1676.11],1732.29,13824,mul
[1648.68|1554.79|1638.42|1580.43|1583.64],1601.19,14336,mul
[2043.69|2194.36|2274.18|1701.89|1755.73],1993.97,14848,mul
[1769.81|2335.95|2578.06|2437.64|1861.26],2196.54,15360,mul
[3149.17|2318.6|2574.3|2300.01|2140.8],2496.58,15872,mul
