time,time_avg,tc_num,opr
[240.81|232.07|279.95|225.22|227.19],241.05,512,mul_recursive
[241.69|265.39|258.86|293.12|254.41],262.69,1024,mul_recursive
[440.21|496.77|459.84|419.78|537.59],470.84,1536,mul_recursive
[466.43|548.28|461.46|452.53|434.33],472.61,2048,mul_recursive
[496.91|499.16|520.91|553.35|631.54],540.37,2560,mul_recursive
[486.49|513.34|475.9|645.2|488.17],521.82,3072,mul_recursive
[541.94|563.32|563.67|640.71|525.48],567.02,3584,mul_recursive
[479.17|489.78|468.1|562.91|512.75],502.54,4096,mul_recursive
[620.19|562.91|597.39|565.99|602.01],589.7,4608,mul_recursive
[617.21|582.38|628.14|592.7|667.97],617.68,5120,mul_recursive
[598.32|659.03|583.76|578.65|549.8],593.91,5632,mul_recursive
[648.14|559.12|567.81|565.16|559.5],579.95,6144,mul_recursive
[742.08|669.98|640.13|926.68|683.11],732.4,6656,mul_recursive
[830.31|717.18|650.1|636.25|734.12],713.59,7168,mul_recursive
[627.99|668.66|609.55|689.09|1065.74],732.21,7680,mul_recursive
[589.57|585.86|588.44|629.49|599.89],598.65,8192,mul_recursive
[866.25|940.4|819.02|783.24|809.51],843.68,8704,mul_recursive
[797.83|752.99|830.52|739.22|849.67],794.05,9216,mul_recursive
[761.79|783.61|752.79|743.47|748.94],758.12,9728,mul_recursive
[764.25|974.2|794.41|790.83|776.28],819.99,10240,mul_recursive
[893.15|933.32|897.61|982.16|867.42],914.73,10752,mul_recursive
[771.71|906.6|826.71|851.25|802.81],831.82,11264,mul_recursive
[969.47|885.69|825.74|962.52|1124.45],953.57,11776,mul_recursive
[1169.1|932.46|968.76|836.86|811.65],943.77,12288,mul_recursive
[887.0|1168.54|919.78|897.89|839.17],942.48,12800,mul_recursive
[884.32|1319.49|889.37|889.66|1218.21],1040.21,13312,mul_recursive
[1346.26|913.33|875.87|911.89|935.38],996.55,13824,mul_recursive
[1092.38|1317.69|964.5|837.81|852.05],1012.89,14336,mul_recursive
[1155.99|1017.21|909.01|1395.75|930.96],1081.78,14848,mul_recursive
[928.19|941.48|926.09|1202.78|945.61],988.83,15360,mul_recursive
[947.94|950.21|961.59|970.66|1102.01],986.48,15872,mul_recursive
[956.35|939.38|1020.94|1002.42|932.88],970.39,16384,mul_recursive
[1444.7|1551.62|1439.88|1428.25|1436.98],1460.29,16896,mul_recursive
[1468.36|1426.75|1387.24|1477.01|1554.34],1462.74,17408,mul_recursive
[1530.2|1360.01|1366.63|1479.18|1398.37],1426.88,17920,mul_recursive
[1360.93|1529.16|1430.12|1371.53|1536.11],1445.57,18432,mul_recursive
[1715.05|1736.07|1420.75|1449.57|1526.94],1569.68,18944,mul_recursive
[1520.81|1402.5|1411.4|1416.58|1405.23],1431.3,19456,mul_recursive
[1604.02|1573.29|1435.69|1494.34|1460.85],1513.64,19968,mul_recursive
[1500.14|1518.35|1512.78|1401.53|1441.66],1474.89,20480,mul_recursive
[1593.35|1836.31|1639.68|1778.78|1778.2],1725.26,20992,mul_recursive
[1424.63|1464.5|1495.29|1448.02|1436.19],1453.73,21504,mul_recursive
[1459.91|1420.28|1410.84|1594.7|1466.73],1470.49,22016,mul_recursive
[1446.31|1454.89|1530.32|1961.29|1476.9],1573.94,22528,mul_recursive
[1560.11|1902.38|1885.59|1622.9|1605.92],1715.38,23040,mul_recursive
[1845.78|1851.54|1576.05|1838.12|1940.15],1810.33,23552,mul_recursive
[1625.56|1561.27|1885.53|1663.83|1704.03],1688.04,24064,mul_recursive
[1556.75|1501.89|1674.92|1584.33|1847.26],1633.03,24576,mul_recursive
[1667.47|1584.06|1621.8|1661.13|1739.66],1654.82,25088,mul_recursive
[2088.37|1981.43|2060.14|1589.43|1741.16],1892.11,25600,mul_recursive
[1701.79|1697.71|1645.42|1841.71|2005.36],1778.4,26112,mul_recursive
[1970.36|2691.81|1928.78|2204.63|1923.41],2143.8,26624,mul_recursive
[2292.37|2360.46|2033.06|2136.93|1979.08],2160.38,27136,mul_recursive
[2372.54|2232.83|1778.26|2015.14|1993.1],2078.37,27648,mul_recursive
[2306.96|1736.24|1733.27|2521.0|2062.56],2072.01,28160,mul_recursive
[2181.79|3086.45|2145.33|2133.02|2017.21],2312.76,28672,mul_recursive
[1887.01|1782.94|1952.21|2104.61|2420.79],2029.51,29184,mul_recursive
[2258.53|2389.59|2182.59|2290.74|2128.57],2250.0,29696,mul_recursive
[2259.63|2308.77|2311.74|2777.32|2456.51],2422.79,30208,mul_recursive
[2494.47|2237.92|2381.27|2490.71|2225.11],2365.9,30720,mul_recursive
