time,time_avg,tc_num,opr
[240.32|261.27|268.3|236.25|231.9],247.61,512,sqr
[274.25|239.26|251.54|279.37|245.98],258.08,1024,sqr
[462.76|429.88|446.4|406.46|541.86],457.47,1536,sqr
[265.14|283.32|262.02|242.77|283.66],267.38,2048,sqr
[549.49|496.19|564.4|487.36|516.57],522.8,2560,sqr
[580.2|585.46|514.49|466.54|540.15],537.37,3072,sqr
[517.17|606.92|520.6|525.68|524.56],538.99,3584,sqr
[355.76|329.07|315.62|368.13|348.79],343.47,4096,sqr
[597.21|664.53|715.64|649.11|567.88],638.87,4608,sqr
[570.04|533.97|549.54|562.49|567.64],556.74,5120,sqr
[557.07|567.98|638.92|569.33|557.47],578.15,5632,sqr
[575.13|564.66|578.88|663.02|600.67],596.47,6144,sqr
[683.14|622.84|646.2|592.23|595.55],627.99,6656,sqr
[630.41|610.89|744.53|653.51|611.73],650.21,7168,sqr
[746.99|625.1|666.95|605.63|704.17],669.77,7680,sqr
[520.85|468.74|473.26|520.87|468.15],490.37,8192,sqr
[884.26|814.58|1416.53|794.39|811.83],944.32,8704,sqr
[766.52|765.62|780.61|799.39|846.01],791.63,9216,sqr
[835.2|776.36|779.53|775.4|793.28],791.95,9728,sqr
[843.51|1138.49|849.98|818.82|824.54],895.07,10240,sqr
[935.35|882.86|844.47|949.61|1124.59],947.38,10752,sqr
[805.14|803.37|796.03|796.19|786.56],797.46,11264,sqr
[1259.63|968.38|1216.71|861.65|1253.5],1111.97,11776,sqr
[782.51|804.15|805.57|788.82|821.42],800.49,12288,sqr
[834.14|840.22|827.85|927.42|1113.3],908.59,12800,sqr
[1057.72|1147.57|862.93|860.51|1144.62],1014.67,13312,sqr
[909.21|871.58|1128.24|954.11|881.9],949.01,13824,sqr
[1121.8|909.44|956.19|1606.08|1228.01],1164.3,14336,sqr
[942.35|866.98|894.59|1427.25|1209.53],1068.14,14848,sqr
[908.04|1227.49|913.52|1535.92|1264.22],1169.84,15360,sqr
[1216.03|1397.53|1359.43|942.59|1232.08],1229.53,15872,sqr
[1000.21|881.44|898.93|880.82|953.58],923.0,16384,sqr
[1832.72|1400.89|1408.71|1483.19|1511.86],1527.47,16896,sqr
[1401.78|1483.51|1375.92|1422.22|1378.57],1412.4,17408,sqr
[1413.67|1484.95|1419.2|1348.03|1393.62],1411.89,17920,sqr
[1553.04|1435.4|1368.51|1360.15|1559.24],1455.27,18432,sqr
[1445.19|1464.18|1900.28|1604.68|1389.38],1560.74,18944,sqr
[1366.16|1509.84|1454.97|1393.23|1389.37],1422.71,19456,sqr
[1538.36|1467.86|1461.86|1489.95|1463.17],1484.24,19968,sqr
[1426.62|1396.46|1615.18|1485.5|1348.97],1454.55,20480,sqr
[1488.54|1510.14|1794.28|2042.19|1724.1],1711.85,20992,sqr
[1430.18|1419.27|1452.43|1826.19|1418.25],1509.26,21504,sqr
[1446.32|1466.77|1481.23|1527.97|1571.88],1498.83,22016,sqr
[1543.3|1517.15|1434.4|1472.36|1782.12],1549.87,22528,sqr
[1528.44|1521.25|1792.78|1848.33|1758.83],1689.93,23040,sqr
[1921.79|1584.16|1556.11|1629.14|1841.84],1706.61,23552,sqr
[1560.81|1568.19|1564.72|1588.58|1632.17],1582.89,24064,sqr
[1691.4|1504.6|1627.63|1539.84|1581.67],1589.03,24576,sqr
[1639.41|1622.63|1661.38|1605.78|1649.48],1635.74,25088,sqr
[1912.42|1656.04|1693.34|1672.29|1648.14],1716.45,25600,sqr
[1929.75|1908.43|1845.71|2254.9|1674.52],1922.66,26112,sqr
[1758.17|1679.62|1690.25|1633.88|1719.72],1696.33,26624,sqr
[1732.2|1688.41|1990.9|1700.82|1675.07],1757.48,27136,sqr
[2246.1|1777.12|1779.13|1978.08|2008.62],1957.81,27648,sqr
[1999.79|1994.22|1765.58|1841.78|2086.7],1937.61,28160,sqr
[2256.21|1843.82|2041.29|2079.37|1831.58],2010.45,28672,sqr
[1861.76|1834.42|2086.58|1876.06|1796.02],1890.97,29184,sqr
[1946.62|1894.62|1824.51|1878.76|2134.61],1935.82,29696,sqr
[1979.0|1981.51|1951.26|1899.57|2058.73],1974.01,30208,sqr
[1966.79|1939.48|2047.34|2144.81|2296.74],2079.03,30720,sqr
[2379.01|2046.46|2019.76|2295.07|2038.39],2155.74,31232,sqr
[2109.62|2174.34|2174.27|1997.2|1975.94],2086.27,31744,sqr
[2044.19|2089.61|2976.69|2176.44|2111.71],2279.73,32256,sqr
[2426.25|2215.96|2088.67|2060.82|2084.55],2175.25,32768,sqr
[3063.08|3175.1|3054.64|3244.14|3466.08],3200.61,33280,sqr
[3156.16|3041.61|3098.99|3026.43|3055.04],3075.65,33792,sqr
[3223.94|3299.23|3139.33|3071.78|3106.77],3168.21,34304,sqr
[3040.86|3008.91|3090.13|3281.32|3161.97],3116.64,34816,sqr
[3176.45|3662.13|3081.85|4092.71|3162.08],3435.04,35328,sqr
[3325.29|3105.71|3032.59|3150.67|3031.39],3129.13,35840,sqr
[3494.27|3299.6|3672.47|3200.74|3588.51],3451.12,36352,sqr
[3071.28|3322.32|3095.04|3115.7|3196.32],3160.13,36864,sqr
[3088.85|3126.8|3159.7|3254.47|3272.27],3180.42,37376,sqr
[3053.73|3219.8|3073.25|3070.45|3498.7],3183.19,37888,sqr
[3166.71|3106.6|3086.34|3253.27|3115.23],3145.63,38400,sqr
[3118.49|3415.72|3290.82|3107.64|3146.95],3215.92,38912,sqr
[3174.56|3538.6|3219.01|3284.78|3615.68],3366.53,39424,sqr
[3262.72|3831.27|3519.63|3292.13|3362.62],3453.67,39936,sqr
[3507.28|3302.02|3321.55|3332.26|3208.72],3334.37,40448,sqr
[3596.16|3205.6|3359.68|3173.13|3209.8],3308.87,40960,sqr
[3491.51|3522.85|3571.91|3493.67|3915.83],3599.15,41472,sqr
[3404.54|3623.26|3418.1|3473.99|3554.36],3494.85,41984,sqr
[3866.21|3423.94|3447.36|3471.84|4017.66],3645.4,42496,sqr
[3526.85|3441.32|3647.68|3512.46|3494.71],3524.6,43008,sqr
[3678.69|3611.04|3627.73|3709.17|3557.46],3636.82,43520,sqr
[3488.78|3623.96|3538.03|3470.76|3541.61],3532.63,44032,sqr
[3666.54|3882.52|4063.01|3620.64|3556.39],3757.82,44544,sqr
[3513.46|3650.41|3485.79|3721.33|3647.41],3603.68,45056,sqr
[3601.33|3746.76|3582.93|3885.32|3770.67],3717.4,45568,sqr
[3844.83|4006.56|4003.15|3900.9|3658.58],3882.8,46080,sqr
[3781.27|3682.22|3701.03|3889.45|3989.35],3808.66,46592,sqr
[3722.73|3963.38|3758.71|3799.24|3675.53],3783.92,47104,sqr
[3944.62|4188.4|4002.0|3834.24|3798.5],3953.55,47616,sqr
[3713.57|3816.77|3773.6|3811.84|3771.97],3777.55,48128,sqr
[3826.99|3744.96|4110.75|3900.74|4063.74],3929.44,48640,sqr
[3772.2|3753.73|3667.56|3695.04|3746.23],3726.95,49152,sqr
[3851.12|3777.81|4160.86|3812.84|4096.83],3939.89,49664,sqr
[3874.03|4127.86|3848.07|3915.57|3853.33],3923.77,50176,sqr
[3804.41|3930.31|3891.69|3764.3|4197.51],3917.64,50688,sqr
[3878.52|4185.24|3983.53|3938.59|3811.66],3959.51,51200,sqr
