time,time_avg,tc_num,opr
[972.67|1011.16|1182.79|903.84|895.55],993.2,131072,add
[1648.12|1990.69|1720.65|1714.8|1778.65],1770.58,262144,add
[2539.11|3219.55|2600.72|2562.68|2617.57],2707.93,393216,add
[3522.92|3812.93|3427.48|3483.74|3583.57],3566.13,524288,add
[4151.97|4394.19|4292.68|4137.46|4100.25],4215.31,655360,add
[5306.16|5567.85|4950.32|4989.29|5040.29],5170.78,786432,add
[5562.31|5584.19|5989.5|6165.83|5760.19],5812.4,917504,add
[6829.22|7265.26|6883.95|6874.44|6538.81],6878.34,1048576,add
[7504.49|8108.92|7661.16|7958.89|7425.03],7731.7,1179648,add
[8427.45|8498.01|8770.29|8187.22|8578.33],8492.26,1310720,add
[9684.47|9214.27|9109.36|9008.59|8859.41],9175.22,1441792,add
[10005.22|9776.5|9981.17|9890.39|10054.54],9941.56,1572864,add
[10779.5|10755.37|10655.04|10622.97|11323.55],10827.29,1703936,add
[13132.07|13132.38|18412.85|12844.41|12837.67],14071.88,1835008,add
[14132.31|14523.43|13941.24|12336.8|13366.3],13660.02,1966080,add
[13303.32|13535.65|13363.54|13069.29|13583.36],13371.03,2097152,add
[14484.12|14848.3|13908.77|17063.11|14007.79],14862.42,2228224,add
[15089.38|15253.0|14915.98|14764.79|14808.78],14966.39,2359296,add
[15833.91|16380.46|15633.14|15466.62|15487.72],15760.37,2490368,add
[16522.75|17204.93|16837.17|16298.86|18884.89],17149.72,2621440,add
[18215.99|17621.57|16889.52|16749.37|16728.79],17241.05,2752512,add
[17810.31|18419.06|17490.17|17727.91|17521.76],17793.84,2883584,add
[18894.53|19311.19|19107.22|18878.43|18523.71],18943.02,3014656,add
[19687.44|20400.46|19748.68|19544.32|22900.62],20456.3,3145728,add
[23661.77|36682.01|22640.59|20435.26|20044.07],24692.74,3276800,add
[21498.2|21285.21|20927.18|20652.62|20812.13],21035.07,3407872,add
[22743.11|21942.68|23202.06|21476.96|22100.58],22293.08,3538944,add
[22599.06|22653.64|22684.29|22247.92|22606.09],22558.2,3670016,add
[23964.12|23178.89|23376.92|23008.36|23662.56],23438.17,3801088,add
[24757.64|24147.66|23931.72|23825.48|24159.52],24164.4,3932160,add
[25420.03|25357.51|25197.9|24668.34|24741.39],25077.03,4063232,add
[27019.02|25605.18|25444.25|25966.66|26053.83],26017.79,4194304,add
[27620.84|26802.27|26305.36|27900.69|26541.06],27034.04,4325376,add
[28884.63|27561.64|27240.33|27211.05|27234.7],27626.47,4456448,add
[29122.86|29243.85|27983.55|28056.09|28216.88],28524.65,4587520,add
[30368.76|28834.27|29360.56|28982.5|37327.59],30974.74,4718592,add
[31288.58|30636.31|29832.68|29353.02|29590.08],30140.13,4849664,add
[31729.53|33465.93|30611.44|30455.21|30381.89],31328.8,4980736,add
[32858.23|31661.54|31215.57|30986.3|31476.38],31639.6,5111808,add
