time,time_avg,tc_num,opr
[172.26|1550.08|178.42|200.02|186.57],457.47,128,div
[280.37|249.43|200.92|321.81|212.29],252.96,256,div
[221.51|246.95|209.96|194.78|232.59],221.16,384,div
[284.86|280.27|239.19|270.44|283.31],271.61,512,div
[362.46|345.61|290.32|333.55|350.08],336.4,640,div
[411.58|435.95|449.46|418.22|393.79],421.8,768,div
[750.93|412.0|642.51|534.24|491.72],566.28,896,div
[695.97|614.87|620.72|733.03|554.64],643.85,1024,div
[930.07|1279.39|1290.43|1266.73|894.55],1132.23,1152,div
[1464.48|915.54|1152.18|1465.72|1674.06],1334.4,1280,div
[1552.63|1594.66|1852.02|1181.98|1337.57],1503.77,1408,div
[1861.14|1804.75|1780.3|1573.61|1543.73],1712.71,1536,div
[2026.34|1958.36|2477.01|2439.13|2238.56],2227.88,1664,div
[2298.7|1961.76|2314.69|2743.15|2633.34],2390.33,1792,div
[2959.63|2907.81|3000.81|2329.52|2855.27],2810.61,1920,div
[3180.32|3079.3|3148.51|3100.8|3175.26],3136.84,2048,div
[4295.48|5555.33|3816.0|3971.33|5700.18],4667.66,2176,div
[6358.04|4513.87|4413.16|4695.79|6188.63],5233.9,2304,div
[6361.88|7540.73|7277.65|6772.64|7083.91],7007.36,2432,div
[6733.98|6856.61|6235.95|7697.17|7049.72],6914.69,2560,div
[7984.1|8377.3|8463.8|6867.27|8388.72],8016.24,2688,div
[9210.7|9711.64|9009.83|9353.89|8619.73],9181.16,2816,div
[10935.65|16057.32|10586.09|13037.69|10587.09],12240.77,2944,div
[11829.14|17065.77|10930.67|12101.49|12815.9],12948.59,3072,div
[13441.65|11010.55|10997.63|11703.16|12964.91],12023.58,3200,div
[14736.25|13445.53|12272.13|14232.89|12452.59],13427.88,3328,div
[13286.75|15350.4|14126.56|15187.89|13321.64],14254.65,3456,div
[15142.08|17317.17|14918.57|15947.25|14784.28],15621.87,3584,div
[17256.96|17070.96|20202.55|16314.23|17956.65],17760.27,3712,div
[16583.51|15865.14|17165.31|16876.72|18266.75],16951.49,3840,div
[18958.43|19502.39|17853.46|18698.0|21120.41],19226.54,3968,div
[20999.53|18213.52|20366.45|19046.22|19079.52],19541.05,4096,div
[26841.28|34783.69|33505.88|35884.04|34147.74],33032.53,4224,div
[29136.54|37114.56|36800.48|28023.75|26691.3],31553.33,4352,div
[34626.45|37383.48|29826.24|37112.86|35271.75],34844.16,4480,div
[32663.73|37150.78|30410.17|40129.62|32420.05],34554.87,4608,div
[40704.02|42824.0|33522.2|35301.11|41692.26],38808.72,4736,div
[41540.17|37229.84|49238.89|39160.3|35457.26],40525.29,4864,div
[41195.9|40779.26|45882.43|51138.23|40526.21],43904.41,4992,div
[41340.36|41270.27|44651.22|44119.09|51518.04],44579.8,5120,div
[46657.82|46567.33|45938.86|45418.01|49492.44],46814.89,5248,div
[47863.09|53295.46|51064.6|49038.6|52948.27],50842.0,5376,div
[55542.5|51420.95|50346.63|56569.35|56249.86],54025.86,5504,div
[65330.58|54216.36|57415.18|57200.17|57012.78],58235.01,5632,div
[63229.57|63971.56|58996.47|58779.04|62442.68],61483.86,5760,div
[61817.25|66791.88|61385.49|69937.91|65491.26],65084.76,5888,div
[62618.35|60146.07|65797.32|66999.7|66895.34],64491.36,6016,div
[69541.19|72272.73|70529.56|69037.3|69255.28],70127.21,6144,div
[77813.44|76073.06|73125.12|74835.52|75008.04],75371.04,6272,div
[78314.68|75086.44|79749.66|80494.61|79189.01],78566.88,6400,div
[85724.35|83140.6|83022.59|82209.19|83098.76],83439.1,6528,div
[88765.03|86321.0|86738.27|88564.27|87081.84],87494.08,6656,div
[92512.57|90539.24|88484.22|91611.66|85650.31],89759.6,6784,div
[92160.03|89370.97|89799.92|94705.54|96464.11],92500.11,6912,div
[93228.25|93280.11|102648.69|101427.71|92636.32],96644.22,7040,div
[107192.36|106289.21|109413.69|115145.16|95163.49],106640.78,7168,div
[100447.63|120907.17|115144.33|100388.72|116351.77],110647.92,7296,div
[109807.55|112098.61|122811.39|115118.09|108433.88],113653.9,7424,div
[113031.62|123865.76|108189.12|108714.78|127690.81],116298.42,7552,div
[110933.24|110459.3|129802.26|135508.47|137309.07],124802.47,7680,div
[141214.86|140807.95|139595.88|148261.36|111615.38],136299.09,7808,div
[153700.15|146040.62|150904.05|145799.18|121776.94],143644.19,7936,div
[127553.36|150860.76|119890.57|150310.12|126927.77],135108.52,8064,div
[136052.1|144486.06|143740.17|103937.39|141575.27],133958.2,8192,div
[205976.85|214848.71|238695.91|245221.66|188533.3],218655.29,8320,div
[182289.67|180038.95|225436.51|214974.01|214226.38],203393.1,8448,div
[222708.21|222400.08|220539.29|189074.92|221713.46],215287.19,8576,div
[191881.33|200786.82|231863.83|192101.42|234470.93],210220.87,8704,div
[236762.67|207987.67|209177.19|204247.77|212479.11],214130.88,8832,div
[212239.11|214778.63|259707.58|237477.56|254578.57],235756.29,8960,div
[241157.3|250961.89|226843.89|219709.19|245892.6],236912.97,9088,div
[229740.15|228330.99|252052.39|236211.44|253030.72],239873.14,9216,div
[244983.2|245122.02|240136.45|262074.64|257926.65],250048.59,9344,div
[267275.86|260621.88|252672.3|248718.8|250673.07],255992.38,9472,div
[260027.48|267627.35|262020.12|263466.07|266880.52],264004.31,9600,div
[289034.12|269884.18|282578.09|277737.85|277501.95],279347.24,9728,div
[279128.7|284282.28|304729.78|299127.09|308346.31],295122.83,9856,div
[285381.07|281950.76|283368.01|305496.91|291781.29],289595.61,9984,div
[288506.23|300207.5|305057.6|316297.04|303529.8],302719.63,10112,div
[330061.21|319061.38|314025.23|302020.81|311044.42],315242.61,10240,div
[330199.87|340993.02|331933.57|315979.3|333167.87],330454.73,10368,div
[339530.66|354336.0|327837.01|334925.26|343812.5],340088.29,10496,div
[361788.56|346979.23|311276.12|358600.49|343187.39],344366.36,10624,div
[324468.12|345341.26|339675.14|328310.91|363505.29],340260.14,10752,div
[316588.06|364717.35|333040.42|318398.27|317446.87],330038.19,10880,div
[335568.14|331682.41|321429.26|361640.73|366034.66],343271.04,11008,div
[407550.97|328949.47|328756.68|408079.83|385265.24],371720.44,11136,div
[432219.61|353896.57|404947.47|402353.52|375831.48],393849.73,11264,div
[368150.5|418220.81|392927.64|356734.42|413303.72],389867.42,11392,div
[423845.0|374531.12|404565.59|411907.07|414827.3],405935.22,11520,div
[432684.09|446037.12|459584.27|415017.82|510866.16],452837.89,11648,div
[479880.97|407993.43|399102.28|507902.0|423314.68],443638.67,11776,div
[500286.54|429061.82|483689.12|417385.24|530925.29],472269.6,11904,div
[468222.02|566204.77|476921.41|634100.72|450966.92],519283.17,12032,div
[479298.53|469866.38|395415.87|576575.37|563649.14],496961.06,12160,div
[547562.98|494360.49|378483.72|487951.38|499862.71],481644.26,12288,div
[527397.55|482641.33|445589.81|447371.51|459743.69],472548.78,12416,div
[457565.85|471927.06|429569.81|502203.98|585426.14],489338.57,12544,div
[681600.08|599091.99|556328.06|556112.79|596365.67],597899.72,12672,div
[505281.7|471061.62|560737.75|457506.23|569548.77],512827.21,12800,div
