time,time_avg,tc_num,opr
[167.88|199.75|205.39|152.28|150.87],175.23,128,modexp
[259.89|217.04|193.97|192.39|182.62],209.18,256,modexp
[242.04|193.25|222.36|222.31|260.15],228.02,384,modexp
[231.75|292.56|357.51|332.51|243.66],291.6,512,modexp
[504.28|360.88|304.9|293.49|323.12],357.33,640,modexp
[482.59|517.34|422.19|360.87|444.77],445.55,768,modexp
[768.64|605.79|438.62|426.01|557.43],559.3,896,modexp
[779.35|746.2|848.61|574.51|748.07],739.35,1024,modexp
[669.17|1458.71|1183.05|1122.25|1211.0],1128.84,1152,modexp
[1493.2|1087.34|813.79|1347.2|1223.43],1192.99,1280,modexp
[1127.69|1848.0|1656.23|1546.35|1331.54],1501.96,1408,modexp
[1794.31|2369.4|1603.25|1534.5|1803.77],1821.05,1536,modexp
[2325.58|1867.0|3079.34|1872.61|1901.16],2209.14,1664,modexp
[2765.3|1925.44|2500.3|2243.06|2140.02],2314.82,1792,modexp
[3187.62|2542.69|3306.21|2379.4|2601.24],2803.43,1920,modexp
[2872.1|3006.2|2958.16|3225.54|2956.73],3003.75,2048,modexp
[5684.41|5794.01|3642.78|3924.87|5838.46],4976.91,2176,modexp
[6067.46|4002.23|6211.07|3807.62|6000.28],5217.73,2304,modexp
[4848.41|7549.67|6334.95|5471.94|5139.78],5868.95,2432,modexp
[7725.13|5406.23|8279.48|8080.9|7712.89],7440.93,2560,modexp
[8562.58|9104.94|6923.77|5816.86|7102.89],7502.21,2688,modexp
[9314.85|7466.52|8924.74|7245.71|6961.72],7982.71,2816,modexp
[8799.42|10404.38|8869.5|8074.06|7937.44],8816.96,2944,modexp
[9902.3|9224.76|9968.53|8638.93|8853.1],9317.52,3072,modexp
[12120.32|10429.4|9810.78|12007.94|12948.01],11463.29,3200,modexp
[11949.88|11447.88|10704.63|11113.35|9983.56],11039.86,3328,modexp
[12394.49|13360.92|12778.96|13238.15|12146.96],12783.9,3456,modexp
[13240.07|14542.68|14454.62|14388.09|13507.83],14026.66,3584,modexp
[15607.57|14993.74|15366.28|14673.97|15805.2],15289.35,3712,modexp
[17088.02|16957.63|15999.99|17616.74|18159.74],17164.42,3840,modexp
[18624.5|17361.62|17211.57|18898.82|19000.54],18219.41,3968,modexp
[16774.38|16749.8|16262.01|16717.79|19108.76],17122.55,4096,modexp
[22910.37|24593.78|23770.02|24898.83|39304.57],27095.51,4224,modexp
[28179.22|26239.28|26969.49|25191.92|25901.02],26496.19,4352,modexp
[31372.42|34192.8|37160.59|39273.75|36426.19],35685.15,4480,modexp
[38080.09|29954.29|37167.49|37232.85|37297.06],35946.36,4608,modexp
[31966.97|38556.66|31669.14|33540.71|37214.74],34589.64,4736,modexp
[34115.4|39309.23|38851.88|31505.63|31516.6],35059.75,4864,modexp
[37520.22|35403.97|42588.25|35904.08|36102.13],37503.73,4992,modexp
[45123.63|38610.23|41520.9|42600.39|44715.65],42514.16,5120,modexp
