time,time_avg,tc_num,opr
[188.58|1221.75|187.16|426.36|1309.51],666.67,128,modmul
[181.28|171.13|217.85|186.02|196.96],190.65,256,modmul
[1304.97|225.72|229.53|212.12|212.4],436.95,384,modmul
[629.91|256.79|256.55|265.5|295.21],340.79,512,modmul
[266.34|258.33|303.26|315.25|286.11],285.86,640,modmul
[376.46|308.77|357.47|435.39|625.42],420.7,768,modmul
[613.39|546.14|564.17|536.02|528.1],557.56,896,modmul
[717.53|806.36|915.41|626.02|746.73],762.41,1024,modmul
[773.81|1065.52|1078.26|1054.26|946.08],983.59,1152,modmul
[1542.14|1053.46|1016.42|1077.9|1011.37],1140.26,1280,modmul
[1428.65|1698.53|1462.82|1299.16|1428.17],1463.47,1408,modmul
[2042.66|1661.09|1435.63|2073.65|1488.6],1740.33,1536,modmul
[2177.39|2069.8|2427.46|1794.6|2060.82],2106.01,1664,modmul
[2272.01|2128.48|1981.57|2420.37|2630.4],2286.57,1792,modmul
[2815.51|2589.24|2701.89|3116.24|2585.24],2761.62,1920,modmul
[3102.16|2794.42|2951.81|2834.66|2553.06],2847.22,2048,modmul
[3615.62|5634.12|5347.83|3274.26|5085.12],4591.39,2176,modmul
[4650.77|4711.86|5918.94|6048.57|5135.78],5293.18,2304,modmul
[5217.95|4352.56|6488.35|4901.21|4787.32],5149.48,2432,modmul
[7112.11|7821.3|8760.42|6470.66|8011.45],7635.19,2560,modmul
[8980.29|7209.22|9541.72|7023.8|9834.81],8517.97,2688,modmul
[10315.5|8016.76|8122.78|9925.12|7938.54],8863.74,2816,modmul
[8010.62|7999.1|8127.07|8253.84|8082.84],8094.69,2944,modmul
[9216.91|8999.39|8847.56|9459.03|8485.39],9001.66,3072,modmul
[11307.8|11688.04|11481.88|11894.6|8925.83],11059.63,3200,modmul
[12416.04|12961.51|11514.97|12026.42|11272.8],12038.35,3328,modmul
[12357.74|12288.17|12815.01|12219.63|12887.92],12513.69,3456,modmul
[15370.29|13446.55|13472.65|13128.27|14215.2],13926.59,3584,modmul
[15510.79|15407.92|15238.49|14968.81|13913.24],15007.85,3712,modmul
[15120.17|16550.51|15279.3|16288.1|15659.51],15779.52,3840,modmul
[18740.19|19063.59|17583.27|17907.07|16372.64],17933.35,3968,modmul
[16708.45|17374.06|16646.26|16509.29|16297.64],16707.14,4096,modmul
[33206.39|30479.23|30199.55|23120.52|22015.43],27804.22,4224,modmul
[28162.51|35561.16|38259.78|32298.22|24763.57],31809.05,4352,modmul
[33955.89|26575.09|26503.96|33124.45|26340.67],29300.01,4480,modmul
[37547.09|33836.37|27870.7|34906.61|34641.11],33760.38,4608,modmul
[38622.27|36013.5|30175.91|37561.97|37403.22],35955.37,4736,modmul
[33510.32|39034.46|38870.16|31886.6|40255.53],36711.41,4864,modmul
[42901.8|33946.42|40665.42|35414.98|41274.3],38840.58,4992,modmul
