time,time_avg,tc_num,opr
[219.71|187.29|216.54|185.52|204.39],202.69,2048,mul
[248.87|280.71|273.79|250.28|242.8],259.29,4096,mul
[395.23|365.83|348.81|348.86|354.16],362.58,6144,mul
[492.33|407.95|411.85|447.49|412.58],434.44,8192,mul
[714.91|670.95|668.08|786.21|706.53],709.34,10240,mul
[832.24|836.26|830.09|775.55|710.93],797.01,12288,mul
[876.81|953.85|1000.02|820.94|967.0],923.72,14336,mul
[998.92|882.61|920.06|1008.28|939.18],949.81,16384,mul
[1643.43|1652.55|1641.98|1661.12|1595.24],1638.86,18432,mul
[1689.84|1734.18|1609.35|1735.01|1729.63],1699.6,20480,mul
[1747.9|1780.75|1917.57|1765.21|1715.16],1785.32,22528,mul
[1866.3|1804.69|2046.64|1986.81|1844.22],1909.73,24576,mul
[2090.27|2177.01|2337.0|2086.8|2116.69],2161.55,26624,mul
[2213.62|2180.26|2384.43|2239.62|2228.32],2249.25,28672,mul
[2532.34|2321.66|2343.51|2358.14|2356.77],2382.48,30720,mul
[2593.65|2350.3|2545.96|2333.64|2678.17],2500.34,32768,mul
[4514.08|4576.03|4595.66|4337.25|4398.34],4484.27,34816,mul
[4923.12|5102.55|5018.58|4975.7|4995.18],5003.03,36864,mul
[5223.35|5064.97|5126.51|5047.37|5070.47],5106.53,38912,mul
[5236.14|5171.08|5154.9|5252.17|6377.53],5438.36,40960,mul
[5523.67|6147.27|4929.65|4995.49|4868.6],5292.94,43008,mul
[4912.25|4950.62|5087.44|4958.38|5074.63],4996.66,45056,mul
[5179.02|5289.66|5232.35|5133.98|5046.6],5176.32,47104,mul
[5265.05|5399.01|5153.0|5105.94|5036.25],5191.85,49152,mul
[5841.3|6021.64|6527.34|6216.09|5731.47],6067.57,51200,mul
[6077.2|5922.36|6070.56|6150.46|5970.54],6038.22,53248,mul
[6055.98|6120.41|6830.36|6104.95|6205.02],6263.34,55296,mul
[6437.69|6012.96|6261.53|6092.67|6252.2],6211.41,57344,mul
[6524.09|6335.07|6680.12|6608.55|6217.62],6473.09,59392,mul
[6599.22|6275.81|6268.71|6363.48|6326.52],6366.75,61440,mul
[6624.38|6373.05|7292.59|6600.24|6555.65],6689.18,63488,mul
[6836.76|6494.54|6797.56|6726.7|6625.19],6696.15,65536,mul
[12604.99|13023.64|13117.31|12746.96|12525.97],12803.77,67584,mul
[12762.06|12826.27|13434.1|12828.3|12652.01],12900.55,69632,mul
[13117.73|13143.03|13051.46|13433.75|12671.44],13083.48,71680,mul
