time,time_avg,key_size
[17882.46|7276.44|21938.1|6178.78|12956.3],13246.42,80
[18924.29|13644.79|9272.46|10324.95|6168.76],11667.05,84
[25135.69|11096.22|26760.82|14160.57|22176.16],19865.89,88
[7156.89|10144.93|18632.16|13268.37|11216.97],12083.86,92
[14069.24|9135.49|22976.65|21879.39|14684.39],16549.03,96
[8593.89|29499.57|10461.66|19783.51|58591.19],25385.96,100
[25942.89|12663.59|35969.46|37748.39|17303.42],25925.55,104
[20070.14|11905.39|15114.44|14656.15|37668.18],19882.86,108
[28393.16|8198.85|33774.69|27010.63|15110.77],22497.62,112
[10250.69|17008.11|10473.25|19600.68|24365.9],16339.73,116
[18512.03|21182.13|37796.4|20606.51|24332.69],24485.95,120
[15544.4|34099.18|30996.17|42357.64|15003.98],27600.27,124
[36601.36|19118.09|9238.06|16375.01|14659.25],19198.35,128
[69746.07|20165.44|35120.19|51448.38|27468.01],40789.62,132
[47859.52|18341.61|30857.9|37201.55|68273.25],40506.77,136
[81537.35|20372.65|32012.06|11950.04|50216.97],39217.81,140
[39868.11|29308.79|34264.72|64869.58|21792.78],38020.8,144
[26804.98|21242.28|35883.28|32241.94|16159.15],26466.33,148
[28090.2|180044.97|20955.29|109090.27|25401.38],72716.42,152
[22860.7|33194.58|24317.59|55802.95|72063.58],41647.88,156
[153400.61|36929.26|22812.77|19100.12|36165.5],53681.65,160
[106448.91|96303.34|53267.69|105447.37|14985.99],75290.66,164
[24160.47|64850.99|56000.39|20279.46|45809.35],42220.13,168
[41160.59|105199.31|38152.35|248973.92|59808.73],98658.98,172
[51328.05|40193.17|41765.9|73276.11|21029.51],45518.55,176
[52122.83|72703.9|116448.38|17977.2|43973.44],60645.15,180
[62060.43|28130.52|19688.22|37915.69|93790.63],48317.1,184
[96707.07|102992.88|25117.41|33845.71|91227.22],69978.06,188
[25211.53|15694.44|47293.26|98213.41|177107.57],72704.04,192
[64542.71|37358.74|143896.89|63142.5|32703.56],68328.88,196
[44364.39|45169.15|72896.62|164568.59|111008.47],87601.44,200
[172911.73|117958.12|169749.31|60577.86|39483.26],112136.06,204
[199094.22|47246.7|184921.47|57146.0|332257.42],164133.16,208
[142608.9|112032.99|438760.69|277613.3|255001.68],245203.51,212
[153209.3|81510.99|81178.18|68351.8|246318.49],126113.75,216
[104319.16|273975.62|236353.44|34318.03|184696.28],166732.51,220
[73862.35|135327.54|68077.21|110671.34|89455.11],95478.71,224
[111852.81|108822.51|113702.05|48744.6|271831.42],130990.68,228
[98250.03|120225.14|77557.15|144135.81|53140.92],98661.81,232
[233509.69|79285.59|63549.05|132017.09|457678.61],193208.01,236
[93608.63|50715.78|46252.21|204002.68|292141.42],137344.14,240
[115730.37|271488.08|43420.3|143931.49|36182.62],122150.57,244
[112427.27|165485.51|249302.65|229013.47|58242.0],162894.18,248
[126553.36|27028.04|86781.25|139849.4|49372.64],85916.94,252
[93087.19|322549.33|352718.8|46852.23|81173.4],179276.19,256
[318508.62|56035.38|155094.32|381166.82|251809.23],232522.87,260
[111647.88|133969.4|603468.04|120839.45|193443.41],232673.64,264
[131695.86|392939.32|211296.21|614970.36|394499.21],349080.19,268
[180293.51|199337.4|978481.75|144888.97|252284.13],351057.15,272
[75515.51|559568.0|193037.02|69749.52|355708.34],250715.68,276
[72130.78|284350.32|62234.99|179094.97|100981.38],139758.49,280
[415713.59|133009.41|362653.71|51327.13|233954.27],239331.62,284
[90875.95|245605.28|388614.14|107328.9|79613.74],182407.6,288
[226331.75|437348.15|336661.91|313356.9|379413.03],338622.35,292
[50267.48|187993.56|64643.54|109006.4|219894.53],126361.1,296
[295272.21|342441.4|139170.3|424525.88|193816.95],279045.35,300
[420396.55|142711.17|92472.93|154788.05|82631.97],178600.13,304
[343182.11|67440.23|80046.85|330272.51|975490.56],359286.45,308
[679228.61|74636.75|55329.11|730195.26|605050.41],428888.03,312
[77741.77|722302.3|39829.4|160067.36|119327.46],223853.66,316
[129082.21|26225.29|138883.02|228398.54|104728.01],125463.41,320
[148065.64|206239.94|401113.99|172118.8|229680.17],231443.71,324
[2031228.8|234933.77|211784.34|1034123.13|1050417.25],912497.46,328
[454814.46|31634.13|75903.17|193276.67|431281.44],237381.97,332
[635529.02|767117.76|651859.04|466972.75|909090.1],686113.73,336
[338782.36|294669.24|525544.36|1292656.21|623165.75],614963.58,340
[793411.87|304732.69|201881.98|328660.22|378062.11],401349.77,344
[107657.91|1213537.22|932502.3|727927.18|86292.71],613583.46,348
[2002263.98|588735.22|480350.57|178530.79|54840.68],660944.25,352
[1272561.24|38142.66|64651.5|959323.96|370927.0],541121.27,356
[596633.97|67151.05|499994.24|1915437.38|191303.41],654104.01,360
[168281.16|945883.1|520033.38|246876.98|1639609.98],704136.92,364
[654818.24|136507.88|454030.99|715895.83|2481221.24],888494.84,368
[475076.86|42518.97|1334999.42|54789.38|148246.05],411126.14,372
[361084.08|267045.27|28767.38|681570.42|93944.91],286482.41,376
[274390.16|155230.62|392506.06|149746.18|881114.21],370597.45,380
[528210.21|489015.81|2742190.33|284468.81|745058.32],957788.7,384
[950991.18|121192.72|61289.73|50688.17|688578.72],374548.1,388
[130352.94|555331.87|572891.37|1924150.65|360704.24],708686.21,392
[117593.35|1403738.18|3248856.65|56051.19|370142.78],1039276.43,396
[714603.02|844639.65|225913.57|1620079.33|503924.48],781832.01,400
[1738279.41|840005.28|177445.21|371546.52|704295.76],766314.44,404
[756993.48|1082226.15|456829.3|360226.15|3905793.08],1312413.63,408
[1689661.83|1924843.88|1563783.35|1053870.61|2506851.79],1747802.29,412
[188695.41|439913.4|639640.16|1285074.63|1615641.32],833792.98,416
[3052570.0|454375.78|366950.8|1945385.48|374166.12],1238689.64,420
[619037.16|264867.61|919730.73|1593001.93|4892008.92],1657729.27,424
[1963183.11|587771.75|355933.29|259518.78|141391.6],661559.71,428
[2356311.56|412275.91|449393.56|477441.61|1181310.82],975346.69,432
[5185058.84|1524846.13|2241391.58|156455.47|589925.12],1939535.43,436
[3000055.93|1458214.4|1144434.58|1039652.17|1949832.36],1718437.89,440
[1067004.31|3801891.81|501507.46|454561.59|3004134.33],1765819.9,444
[4679050.55|85473.38|1147108.75|914900.39|632639.89],1491834.59,448
[260855.1|1410733.06|4498777.89|3351942.79|554419.35],2015345.64,452
[254184.57|3763682.54|341332.38|2701791.03|5510791.86],2514356.48,456
[3458454.45|2095631.07|1498487.68|246536.32|339935.27],1527808.96,460
[2047185.93|2063304.77|271002.59|1309198.03|620826.22],1262303.51,464
[3136885.08|2625970.93|752314.45|3622346.56|1656927.92],2358888.99,468
[1886906.95|227410.1|1084300.28|713358.85|357487.72],853892.78,472
[1066855.95|1359546.49|1939043.94|782564.08|762175.85],1182037.26,476
