time,time_avg,tc_num,opr
[874.47|794.92|872.67|805.64|767.78],823.1,131072,add
[1393.15|1506.99|1723.29|2238.87|1488.98],1670.26,262144,add
[3010.59|3193.63|3384.28|3186.53|2744.95],3104.0,393216,add
[4269.03|3975.57|2867.69|2852.06|2936.87],3380.24,524288,add
[3424.55|3734.19|3724.16|3558.7|3588.78],3606.08,655360,add
[4285.3|4558.24|4299.62|4252.82|4109.31],4301.06,786432,add
[5233.7|5056.71|5303.28|4994.95|5201.22],5157.97,917504,add
[6194.86|5865.58|6450.6|6128.81|7555.32],6439.03,1048576,add
[8149.28|6928.6|6157.2|7383.3|6735.24],7070.72,1179648,add
[7647.46|8137.73|7944.01|7905.64|7358.35],7798.64,1310720,add
[7827.26|7505.59|7767.7|7678.25|7864.82],7728.72,1441792,add
[8585.06|8400.75|7890.49|8521.76|8454.67],8370.55,1572864,add
[8617.27|9427.39|10010.53|9533.17|11124.44],9742.56,1703936,add
[12233.37|11121.47|12015.04|12025.76|11128.07],11704.74,1835008,add
[10946.88|11253.09|11038.34|10670.6|10422.5],10866.28,1966080,add
[11161.12|11749.52|11144.72|10650.12|14338.27],11808.75,2097152,add
[18883.0|18743.69|18741.87|14036.73|12834.82],16648.02,2228224,add
[15794.0|13133.31|12101.08|12868.59|13114.98],13402.39,2359296,add
[13883.36|13221.85|13572.16|13458.1|13536.5],13534.39,2490368,add
[13657.91|13638.76|13763.84|15410.26|14320.49],14158.25,2621440,add
[17278.43|14527.61|14441.52|14413.96|14781.02],15088.51,2752512,add
[15152.9|15442.42|16268.99|18659.88|16390.09],16382.86,2883584,add
[17055.43|17927.02|18698.29|19209.46|17112.57],18000.55,3014656,add
[18356.09|18176.35|18704.22|25111.45|32367.01],22543.02,3145728,add
[33624.07|33668.0|33118.67|33762.04|33743.5],33583.26,3276800,add
[34989.5|34541.6|21130.81|19746.04|19796.2],26040.83,3407872,add
[20246.78|20345.76|19785.29|18866.56|18264.2],19501.72,3538944,add
[21804.54|20112.83|20200.96|21752.96|19958.64],20765.99,3670016,add
[23137.99|21735.38|21292.41|20247.3|21100.98],21502.81,3801088,add
[22299.54|20405.14|21818.37|22125.44|21460.28],21621.75,3932160,add
[24330.87|22724.57|23550.78|22399.86|22525.1],23106.24,4063232,add
[23185.38|31440.31|35062.07|26355.27|22933.51],27795.31,4194304,add
[23542.43|27165.61|27658.18|26113.05|23534.88],25602.83,4325376,add
[30396.54|27447.49|30790.04|28139.67|26976.85],28750.12,4456448,add
[26723.58|36579.57|28024.05|25261.4|24911.07],28299.93,4587520,add
[28352.08|31031.17|29341.22|29456.58|25140.25],28664.26,4718592,add
[26315.09|27380.05|27475.33|35044.21|34136.39],30070.21,4849664,add
[28557.21|28721.39|27318.7|27203.32|26755.13],27711.15,4980736,add
[27867.61|27829.28|30791.45|30180.93|28223.7],28978.59,5111808,add
[30866.3|30080.55|30000.36|30653.81|28823.12],30084.83,5242880,add
[33688.64|28736.81|29864.07|29847.25|29515.7],30330.49,5373952,add
[31257.39|32428.22|33737.83|31451.23|33173.66],32409.67,5505024,add
[32516.44|29796.62|31013.74|33432.58|32030.38],31757.95,5636096,add
[33649.35|34505.87|31432.98|36419.14|43211.65],35843.8,5767168,add
[33950.27|35573.05|37763.8|32829.46|34423.07],34907.93,5898240,add
[32860.92|37354.28|36848.78|40287.33|50369.33],39544.13,6029312,add
[35239.78|40233.42|39367.43|35935.03|36220.93],37399.32,6160384,add
[46023.9|39039.68|34208.09|36353.04|37571.14],38639.17,6291456,add
[37809.18|49118.54|39271.84|40996.83|40716.99],41582.68,6422528,add
[39268.47|42236.46|39185.68|37975.26|37405.94],39214.36,6553600,add
[53528.59|45556.47|56185.77|55322.29|52213.6],52561.34,6684672,add
[39631.48|40436.02|40074.25|40509.16|48202.9],41770.76,6815744,add
[45392.02|42193.64|48341.99|40682.65|44321.51],44186.36,6946816,add
[46303.0|47622.08|58425.53|56240.18|41405.46],49999.25,7077888,add
[56959.79|56419.33|53679.58|48022.52|41906.68],51397.58,7208960,add
[43907.16|43235.79|42546.56|46174.39|42808.8],43734.54,7340032,add
[41721.34|43059.9|53225.67|48101.78|49865.68],47194.87,7471104,add
[42707.76|62002.02|49486.32|43669.76|52688.56],50110.88,7602176,add
[44408.45|43823.41|47070.33|47510.79|44494.78],45461.55,7733248,add
[46906.7|46641.97|47112.24|42489.23|49527.5],46535.53,7864320,add
[53207.42|63630.68|45487.17|44497.14|45258.71],50416.22,7995392,add
[46161.26|51551.03|54507.48|62884.15|50756.9],53172.16,8126464,add
[47395.11|55447.27|56452.65|46395.83|51195.13],51377.2,8257536,add
[56701.64|46275.97|46938.09|45681.37|49886.31],49096.68,8388608,add
[52283.05|67633.98|48188.79|52040.3|51539.73],54337.17,8519680,add
[52836.21|46446.64|47988.36|48833.14|52027.6],49626.39,8650752,add
[49337.41|51797.17|49219.79|58792.72|57498.66],53329.15,8781824,add
[51521.68|49291.07|47480.17|52958.38|51668.29],50583.92,8912896,add
[57072.99|56662.06|51591.49|51976.59|52360.65],53932.76,9043968,add
[51533.83|65788.16|65599.03|50369.07|52433.02],57144.62,9175040,add
[49739.12|50250.78|49746.75|50962.43|49577.2],50055.26,9306112,add
[51201.74|55432.93|51034.63|52783.48|53911.38],52872.83,9437184,add
[53460.64|57718.05|51186.8|55062.86|65735.79],56632.83,9568256,add
[57872.02|64924.71|77189.53|64961.1|60730.47],65135.57,9699328,add
[52291.22|66722.34|81356.65|53028.31|59911.2],62661.94,9830400,add
[62399.9|55139.14|60837.34|53727.63|54782.42],57377.29,9961472,add
[59597.92|57372.36|56972.67|64847.92|66921.88],61142.55,10092544,add
[56741.06|55282.88|58245.72|57902.79|57498.52],57134.19,10223616,add
[58125.93|59444.84|56657.94|68927.46|63961.69],61423.57,10354688,add
[56562.64|55915.51|57543.77|64125.4|57630.84],58355.63,10485760,add
[60170.7|63692.89|66227.77|59493.59|59776.19],61872.23,10616832,add
[57939.67|56675.35|60388.02|65224.49|61169.32],60279.37,10747904,add
[64533.43|62096.36|59379.09|59855.58|66706.71],62514.23,10878976,add
[73299.4|65542.53|60386.18|72871.26|76161.07],69652.09,11010048,add
[65383.64|61252.03|61067.09|59070.05|65539.93],62462.55,11141120,add
[68760.52|62540.72|65236.63|59781.23|64698.24],64203.47,11272192,add
[70178.46|76156.2|68228.35|61263.13|65762.77],68317.78,11403264,add
[78063.02|69808.55|73120.01|69319.9|70979.09],72258.11,11534336,add
[74394.78|79292.46|83738.43|99065.66|100687.19],87435.7,11665408,add
[101486.54|89331.08|69841.02|77012.93|64275.83],80389.48,11796480,add
[73017.85|69531.39|67221.99|69067.09|91063.39],73980.34,11927552,add
[91204.66|73714.09|82625.16|75468.13|70990.66],78800.54,12058624,add
[87985.89|90100.8|79390.23|81094.26|74720.72],82658.38,12189696,add
[78905.87|75834.95|87572.66|79987.99|86810.07],81822.31,12320768,add
[71870.42|76172.37|78167.65|73485.61|73391.13],74617.44,12451840,add
[81699.13|84431.56|86627.95|81613.34|74497.11],81773.82,12582912,add
[73267.49|84187.66|83824.91|77394.42|121564.95],88047.89,12713984,add
[104371.46|79582.14|97561.3|74409.13|75702.46],86325.3,12845056,add
