time,time_avg,tc_num,opr
[180.62|178.72|185.05|243.91|164.79],190.62,1024,div
[220.01|164.44|258.55|157.91|154.31],191.04,2048,div
[218.62|209.33|229.85|174.71|161.82],198.87,3072,div
[175.74|279.2|195.65|164.0|163.53],195.62,4096,div
[181.86|244.85|183.89|201.77|203.39],203.15,5120,div
[197.6|219.76|278.69|213.49|188.85],219.68,6144,div
[242.4|293.97|213.55|293.67|252.24],259.17,7168,div
[290.89|207.14|311.58|289.01|307.12],281.15,8192,div
[224.04|230.74|426.64|267.64|281.94],286.2,9216,div
[388.47|339.69|302.74|230.74|281.08],308.54,10240,div
[257.02|347.75|305.32|247.08|347.06],300.85,11264,div
[358.46|254.01|274.3|308.36|341.02],307.23,12288,div
[298.13|443.78|411.31|354.76|347.01],371.0,13312,div
[579.55|274.38|404.89|586.55|441.16],457.31,14336,div
[399.65|387.14|419.59|364.62|341.94],382.59,15360,div
[365.97|439.94|375.74|470.8|574.09],445.31,16384,div
[615.44|444.92|407.92|407.95|476.46],470.54,17408,div
[476.26|453.89|338.01|433.73|449.69],430.32,18432,div
[533.56|481.04|576.41|462.04|495.74],509.76,19456,div
[526.36|435.8|387.7|474.49|465.49],457.97,20480,div
[480.33|472.0|390.88|524.45|436.27],460.79,21504,div
[440.37|543.43|459.98|368.0|454.57],453.27,22528,div
[545.52|481.3|420.91|604.0|566.75],523.7,23552,div
[479.88|410.71|510.86|479.37|434.57],463.08,24576,div
[549.09|573.78|633.25|538.42|451.29],549.17,25600,div
[506.07|587.51|509.84|508.1|529.29],528.16,26624,div
[629.76|532.34|606.86|449.37|532.14],550.09,27648,div
[594.55|457.03|472.09|451.34|485.17],492.04,28672,div
[622.21|540.33|593.96|489.27|554.07],559.97,29696,div
[727.05|654.89|651.49|600.82|650.03],656.86,30720,div
[790.74|547.62|832.24|554.02|694.48],683.82,31744,div
[560.91|595.18|595.16|720.46|741.84],642.71,32768,div
[754.23|607.96|751.43|588.46|636.83],667.78,33792,div
[695.12|661.66|659.23|651.96|758.86],685.37,34816,div
[716.46|771.48|712.5|650.59|650.6],700.33,35840,div
[762.88|908.78|941.41|670.82|657.0],788.18,36864,div
[715.39|713.01|683.57|640.89|679.01],686.37,37888,div
[856.99|877.99|1017.43|910.62|943.73],921.35,38912,div
[922.4|701.37|822.39|846.87|733.75],805.36,39936,div
[1072.7|1055.73|1072.8|758.48|627.07],917.36,40960,div
[765.08|877.27|1124.02|1167.53|937.64],974.31,41984,div
[1048.74|959.73|997.2|970.13|1080.58],1011.28,43008,div
[1084.36|1024.02|1019.07|1080.33|1234.22],1088.4,44032,div
[1127.65|1069.14|1005.97|1006.45|822.59],1006.36,45056,div
[804.4|876.57|801.74|834.43|928.6],849.15,46080,div
[920.37|894.01|845.62|934.81|808.35],880.63,47104,div
[880.76|1021.08|830.79|1054.89|1030.1],963.52,48128,div
