time,time_avg,tc_num,opr
[216.95|244.11|190.75|202.49|205.25],211.91,128,modmul
[164.19|239.73|221.2|170.64|142.26],187.6,256,modmul
[208.39|241.46|246.6|271.25|276.74],248.89,384,modmul
[310.5|321.32|274.5|234.74|232.72],274.76,512,modmul
[314.48|319.1|338.38|292.68|357.04],324.34,640,modmul
[314.19|431.4|607.63|393.29|463.37],441.98,768,modmul
[643.43|564.82|612.59|634.41|599.28],610.91,896,modmul
[716.79|622.95|923.89|610.75|699.57],714.79,1024,modmul
[992.87|931.17|1336.82|993.16|1158.01],1082.41,1152,modmul
[987.31|1444.54|1000.2|1411.46|1158.22],1200.35,1280,modmul
[1846.11|1160.38|1474.58|1812.61|1452.83],1549.3,1408,modmul
[1554.73|1525.19|2054.91|1906.71|1836.03],1775.51,1536,modmul
[2171.83|1742.25|1919.52|1767.79|1738.48],1867.97,1664,modmul
[2306.55|2177.17|2543.47|2111.6|2347.65],2297.29,1792,modmul
[2111.61|2325.8|2544.34|2439.09|2832.52],2450.67,1920,modmul
[2717.86|3549.8|2303.07|2653.93|3446.82],2934.3,2048,modmul
[3349.86|3666.55|4492.62|3279.03|4864.85],3930.58,2176,modmul
[5023.54|3676.73|3697.99|5583.18|5096.68],4615.62,2304,modmul
[5437.46|6533.91|5855.45|6099.73|5523.84],5890.08,2432,modmul
[6459.7|6687.96|6124.97|4782.35|4996.32],5810.26,2560,modmul
[6196.26|6598.09|5680.75|6581.69|6538.39],6319.04,2688,modmul
[6186.57|7381.14|7421.71|6615.85|6265.64],6774.18,2816,modmul
[8413.43|8373.99|8716.64|7514.4|7166.87],8037.07,2944,modmul
[7752.14|9234.79|7934.24|8238.54|8826.96],8397.33,3072,modmul
[9010.21|10121.71|8587.27|10082.91|8466.11],9253.64,3200,modmul
[9441.24|9913.5|10208.3|9347.62|10044.67],9791.07,3328,modmul
[10222.84|10376.99|11918.25|10877.18|10414.48],10761.95,3456,modmul
[11848.93|12258.5|11533.62|11834.07|11921.76],11879.38,3584,modmul
[13419.4|12615.31|12479.46|12790.81|12835.38],12828.07,3712,modmul
[14069.5|14709.03|14875.68|13787.09|15107.17],14509.69,3840,modmul
[17295.06|15247.02|16096.04|15646.04|14415.0],15739.83,3968,modmul
[15490.94|21574.17|20209.81|22609.78|19181.67],19813.27,4096,modmul
[34341.45|25425.4|28946.01|20093.88|26675.58],27096.46,4224,modmul
[28892.27|26258.24|31948.52|22111.91|23031.95],26448.58,4352,modmul
[25812.27|23358.64|25104.89|24231.75|28540.74],25409.66,4480,modmul
[23997.81|25093.67|28584.57|31887.71|34272.69],28767.29,4608,modmul
[31845.34|26187.31|28603.04|28785.4|34034.97],29891.21,4736,modmul
[34222.64|35267.17|32982.83|29023.03|34530.75],33205.28,4864,modmul
[35767.04|30912.07|33079.32|36620.88|36417.65],34559.39,4992,modmul
[41477.22|33384.98|33450.93|32828.46|39510.91],36130.5,5120,modmul
[41435.85|39927.57|40821.4|35253.78|38746.39],39237.0,5248,modmul
