time,time_avg,tc_num,opr
[4101.01|3775.41|3932.38|3857.62|4284.18],3990.12,1024,modexp
[8450.35|8635.32|8325.46|8008.73|7558.76],8195.72,2048,modexp
[12952.96|13303.39|12591.32|12699.0|12637.85],12836.9,3072,modexp
[17319.4|17523.46|18249.84|18326.87|17787.09],17841.33,4096,modexp
[25295.57|24903.96|24503.48|23608.75|25199.92],24702.34,5120,modexp
[30001.56|28906.79|29660.29|29493.01|28262.4],29264.81,6144,modexp
[34563.23|34236.68|33630.29|33134.45|35632.25],34239.38,7168,modexp
[38750.03|39042.29|39890.74|39356.33|39335.66],39275.01,8192,modexp
[55244.43|54842.08|53379.9|53790.98|54005.54],54252.59,9216,modexp
[59482.16|59820.94|60380.8|57106.76|57920.01],58942.13,10240,modexp
[64633.69|63988.37|63919.52|62935.04|64851.58],64065.64,11264,modexp
[68856.65|67029.94|66350.25|68863.41|64961.35],67212.32,12288,modexp
[73175.5|70905.94|76204.41|75102.87|72089.88],73495.72,13312,modexp
[79564.19|80400.15|80587.43|81297.22|81995.74],80768.95,14336,modexp
[85036.65|85948.11|82332.93|85889.71|82755.38],84392.56,15360,modexp
[89798.87|89979.06|90022.25|86882.63|89089.11],89154.38,16384,modexp
[121311.25|122278.88|123943.65|125641.85|129238.22],124482.77,17408,modexp
[138410.87|125643.74|135791.0|135628.33|127572.07],132609.2,18432,modexp
[137832.72|140677.8|139281.28|136920.35|136519.03],138246.24,19456,modexp
[143871.91|134888.52|139941.67|139116.79|142562.81],140076.34,20480,modexp
[148286.88|150353.26|146774.14|150210.05|143818.4],147888.55,21504,modexp
[152243.12|155016.85|153891.65|151976.58|151914.52],153008.54,22528,modexp
[156534.32|157114.62|157954.26|153333.63|148211.0],154629.57,23552,modexp
[160281.25|152981.92|164247.29|156354.07|156722.31],158117.37,24576,modexp
[176409.4|170062.65|169571.3|171777.16|178887.65],173341.63,25600,modexp
[183697.42|180338.19|178424.18|178093.9|181538.53],180418.44,26624,modexp
[185985.86|185514.81|182529.22|184533.72|181331.59],183979.04,27648,modexp
[190231.18|185726.0|191834.04|188646.86|187496.01],188786.82,28672,modexp
[199469.24|194933.96|195626.08|195436.1|198213.83],196735.84,29696,modexp
[197095.38|198615.4|198834.93|201092.94|206871.69],200502.07,30720,modexp
[208384.45|208071.68|202483.28|206271.76|207914.57],206625.15,31744,modexp
[209281.45|209484.67|213822.69|212742.79|208619.39],210790.2,32768,modexp
[311278.76|314393.73|309852.32|312771.79|307934.77],311246.27,33792,modexp
[315788.83|318350.26|313630.62|325488.61|319291.85],318510.03,34816,modexp
[317526.97|315840.87|325345.28|334109.02|320153.57],322595.14,35840,modexp
[324784.67|314789.88|322186.32|327454.62|326893.97],323221.89,36864,modexp
[335263.43|335801.18|344454.57|337770.55|323714.73],335400.89,37888,modexp
[336519.16|331701.61|335503.42|336273.39|349907.49],337981.01,38912,modexp
[338800.84|332365.18|328779.84|351321.81|354925.7],341238.67,39936,modexp
[338387.66|339565.94|340693.03|340452.1|344127.09],340645.16,40960,modexp
[362027.83|360206.71|368027.54|357882.83|350734.44],359775.87,41984,modexp
[354745.65|362353.26|377762.47|363321.72|364963.16],364629.25,43008,modexp
[360640.76|369764.97|375848.75|384124.82|376372.62],373350.38,44032,modexp
[368569.29|372895.84|370378.12|370002.41|370416.85],370452.5,45056,modexp
[369390.08|368658.85|383461.08|382222.19|370664.17],374879.27,46080,modexp
[363863.6|383598.61|370624.26|393542.98|381237.08],378573.31,47104,modexp
[394780.99|387899.22|381976.74|382274.13|381477.99],385681.81,48128,modexp
[395506.18|393047.38|395775.62|387046.58|382558.83],390786.92,49152,modexp
[415750.23|427128.45|430785.62|441377.22|443004.21],431609.15,50176,modexp
[425047.57|411665.87|424375.17|432742.89|432025.03],425171.31,51200,modexp
[430246.25|435331.26|451135.84|476201.01|446513.71],447885.61,52224,modexp
[447665.84|469784.28|464327.96|464318.04|447074.84],458634.19,53248,modexp
[448676.59|437498.49|462893.81|448194.18|458128.37],451078.29,54272,modexp
[453545.55|454859.08|454294.45|467281.16|464513.62],458898.77,55296,modexp
[451503.97|447307.25|459777.49|459856.92|452897.66],454268.66,56320,modexp
[453112.76|454462.7|451366.19|459811.4|471771.57],458104.92,57344,modexp
[486208.66|468602.06|461087.52|484892.23|468154.58],473789.01,58368,modexp
[489289.99|497578.23|493904.88|491467.59|476951.25],489838.39,59392,modexp
[506056.75|496981.25|496210.62|503577.22|498968.55],500358.88,60416,modexp
[500551.88|498985.96|484020.77|476866.81|502252.12],492535.51,61440,modexp
[496761.5|482681.28|479884.91|495097.73|490413.82],488967.85,62464,modexp
[498385.0|494013.0|492098.5|494765.59|502733.25],496399.07,63488,modexp
[500917.12|503931.54|528805.45|518892.55|521493.08],514807.95,64512,modexp
[509880.14|514219.79|511879.09|510555.71|513816.05],512070.16,65536,modexp
[796043.6|808060.51|808850.23|800373.64|791622.12],800990.02,66560,modexp
[804485.32|791276.32|801858.19|809696.98|810437.64],803550.89,67584,modexp
[841263.74|806281.93|809670.58|799565.41|830461.0],817448.53,68608,modexp
[836339.61|808875.84|812376.3|814913.75|822887.62],819078.62,69632,modexp
[827007.88|820429.18|808798.14|818650.58|848308.04],824638.76,70656,modexp
[861094.15|826675.79|855424.24|827442.83|819114.81],837950.36,71680,modexp
[839453.54|842514.55|841082.4|829557.58|840835.4],838688.69,72704,modexp
[864684.61|866614.24|859499.88|866694.76|828647.14],857228.13,73728,modexp
[869701.95|843126.88|843425.71|858807.37|876223.68],858257.12,74752,modexp
[887113.6|839642.66|854508.42|875699.39|877026.65],866798.14,75776,modexp
[856985.43|861762.32|860840.27|868604.31|868368.03],863312.07,76800,modexp
[871769.67|868716.54|919410.0|881375.59|886366.11],885527.58,77824,modexp
[895556.9|900613.59|895212.72|906210.59|883019.09],896122.58,78848,modexp
[882720.7|903355.69|871137.01|910785.18|917511.71],897102.06,79872,modexp
[883036.98|902356.02|940701.31|913147.38|906621.91],909172.72,80896,modexp
[912420.79|910285.66|910651.78|885115.66|906748.76],905044.53,81920,modexp
[952521.69|920062.96|921561.38|929380.22|923023.41],929309.93,82944,modexp
[958055.24|955227.74|921729.28|910459.99|924577.97],934010.04,83968,modexp
[985379.7|932043.82|947434.58|988894.68|975938.1],965938.18,84992,modexp
[954318.68|937476.01|939822.37|933280.68|971663.45],947312.24,86016,modexp
[946875.91|979638.01|986632.55|977344.54|960416.12],970181.43,87040,modexp
[985077.54|980380.41|941757.19|945515.66|951353.63],960816.89,88064,modexp
[988651.46|954747.7|949992.71|961996.28|979550.32],966987.69,89088,modexp
[1005996.92|998608.02|951267.04|953343.35|969778.69],975798.8,90112,modexp
[984112.75|991812.79|1021188.44|1012022.14|984143.94],998656.01,91136,modexp
[1025032.69|994765.7|1022410.91|983589.71|996259.54],1004411.71,92160,modexp
[1052828.84|1022238.55|1054607.68|1051733.59|1048280.35],1045937.8,93184,modexp
[1043358.08|1026633.24|1010504.25|998262.38|1006422.91],1017036.17,94208,modexp
[1029696.81|1019307.79|1034361.34|1019545.72|1027536.79],1026089.69,95232,modexp
[1052261.69|1015987.71|1017845.34|1031497.91|1029282.61],1029375.05,96256,modexp
[1027784.16|1043854.86|1035434.66|1003104.36|999228.57],1021881.32,97280,modexp
[1007734.62|1048223.76|1038596.56|1035591.53|1044471.26],1034923.55,98304,modexp
[1140985.71|1131171.95|1130792.21|1140002.16|1117551.57],1132100.72,99328,modexp
[1156446.36|1153480.1|1223418.57|1194812.61|1175231.52],1180677.83,100352,modexp
[1196358.25|1149126.16|1140224.75|1144945.96|1113114.63],1148753.95,101376,modexp
[1126493.64|1141160.94|1126187.65|1122092.77|1123934.34],1127973.87,102400,modexp
