time,time_avg,tc_num,opr
[633.48|405.06|535.0|438.55|465.55],495.53,1024,mul
[1189.55|1490.23|1192.8|1361.6|1335.88],1314.01,2048,mul
[3099.27|2826.89|3055.16|2899.87|3191.36],3014.51,3072,mul
[3811.72|4043.42|3694.25|3686.03|3769.12],3800.91,4096,mul
[7172.82|8103.44|7569.75|7290.32|7441.25],7515.52,5120,mul
[8564.75|7791.12|7785.13|8451.5|8084.03],8135.31,6144,mul
[10165.0|10700.58|9744.85|10410.09|9496.66],10103.44,7168,mul
[10962.92|11244.33|11211.73|10741.14|10994.0],11030.82,8192,mul
[22741.4|21631.39|23701.4|24606.61|22785.98],23093.36,9216,mul
[21990.07|23385.29|24447.22|22091.13|24199.1],23222.56,10240,mul
[24138.15|25311.62|24708.67|24629.62|25111.49],24779.91,11264,mul
[24758.13|26427.17|24373.86|24549.29|24976.96],25017.08,12288,mul
[29362.67|30027.78|28656.18|28609.21|29333.88],29197.94,13312,mul
[29706.64|31918.64|28140.13|30360.04|28413.21],29707.73,14336,mul
[31576.82|32204.14|31843.08|32113.75|32730.55],32093.67,15360,mul
[31388.96|32801.17|32210.52|31916.94|30968.62],31857.24,16384,mul
[65032.86|63357.15|61636.26|67005.15|63233.36],64052.96,17408,mul
[64638.36|66534.23|66336.43|64291.23|66916.35],65743.32,18432,mul
[70086.15|66280.92|68617.7|68921.68|72717.48],69324.79,19456,mul
[67632.95|75084.01|70598.87|72408.68|68099.68],70764.84,20480,mul
[72901.68|72555.82|73542.12|73028.18|73922.6],73190.08,21504,mul
[75948.71|74339.09|76516.96|76834.74|74600.51],75648.0,22528,mul
[74671.45|77942.12|75838.55|76769.23|77477.61],76539.79,23552,mul
[79236.61|76913.99|75621.27|77249.59|78061.42],77416.58,24576,mul
[88114.64|85194.62|91373.69|86276.25|90078.49],88207.54,25600,mul
[89873.74|93825.26|92741.98|85899.65|93910.92],91250.31,26624,mul
[91417.43|92819.49|92515.96|94511.18|91742.32],92601.28,27648,mul
[86230.74|90715.29|91675.13|90705.91|89164.04],89698.22,28672,mul
[94352.22|97106.32|93654.96|97246.06|92470.26],94965.96,29696,mul
[91665.31|93493.36|96294.03|96502.13|94218.96],94434.76,30720,mul
[92568.88|95189.26|94356.03|97037.09|100589.05],95948.06,31744,mul
[99711.99|96000.22|100771.64|95786.78|99332.27],98320.58,32768,mul
[188492.29|198610.29|201813.63|196951.89|195731.57],196319.93,33792,mul
[192920.8|197853.19|200591.35|208086.29|200962.2],200082.77,34816,mul
[199474.22|196835.32|196622.62|194932.16|197038.22],196980.51,35840,mul
[206220.73|196515.93|196260.75|201165.57|192777.69],198588.13,36864,mul
[198897.04|200804.76|206412.35|197648.05|204522.03],201656.85,37888,mul
[208783.11|209897.16|214661.22|198602.29|205544.08],207497.57,38912,mul
[207100.03|203760.02|205004.22|206659.68|200177.82],204540.35,39936,mul
[206045.73|201601.51|196834.7|203746.69|199789.69],201603.66,40960,mul
[214464.15|215512.69|218252.09|220401.27|221680.01],218062.04,41984,mul
[212688.37|219014.62|216388.15|232118.3|220714.67],220184.82,43008,mul
[222184.81|221310.95|214071.15|217852.9|228797.96],220843.55,44032,mul
[231597.3|224708.59|225142.7|218727.91|220991.41],224233.58,45056,mul
[222558.2|223210.35|230429.92|221864.83|223204.39],224253.54,46080,mul
[219111.8|225629.55|219430.46|221353.61|224207.05],221946.49,47104,mul
[227609.19|226934.42|235839.98|222807.26|216904.39],226019.05,48128,mul
[230036.41|225933.08|225058.4|221535.27|231156.1],226743.85,49152,mul
[256464.19|261379.94|256711.88|257883.52|258190.42],258125.99,50176,mul
[267542.12|257358.18|268796.79|261892.35|274707.67],266059.42,51200,mul
[272435.67|268117.57|267313.97|259457.2|258707.25],265206.33,52224,mul
[268928.99|264358.25|259622.43|256204.63|253081.31],260439.12,53248,mul
[273822.01|271070.99|272626.21|269932.0|268406.09],271171.46,54272,mul
[268865.15|265136.96|265739.65|268941.38|269488.06],267634.24,55296,mul
[277319.3|273421.29|266969.24|272097.98|276325.87],273226.74,56320,mul
[271848.27|276318.3|271532.42|265319.17|262116.64],269426.96,57344,mul
[293821.1|284722.9|286129.17|277591.21|279110.91],284275.06,58368,mul
[288407.26|284615.16|285599.46|283805.13|289110.39],286307.48,59392,mul
[283541.88|275766.02|278459.2|280502.35|288566.15],281367.12,60416,mul
[281272.74|273925.93|274995.33|278833.53|278253.74],277456.25,61440,mul
[286828.08|290768.47|303931.83|291847.27|290446.4],292764.41,62464,mul
[291486.03|290337.35|290567.01|293648.77|293916.23],291991.08,63488,mul
[296984.18|301475.23|297971.97|302110.62|313098.29],302328.06,64512,mul
[307824.43|310134.61|300914.23|295325.72|299544.28],302748.65,65536,mul
[589923.85|587833.45|583705.15|580570.33|594773.04],587361.16,66560,mul
[603010.75|591375.71|603166.21|586794.58|567376.65],590344.78,67584,mul
[588692.39|598249.44|584930.68|593252.23|599003.75],592825.7,68608,mul
[573218.09|579290.17|584418.28|591291.06|593605.96],584364.71,69632,mul
[591975.61|585941.39|616189.32|620299.48|619813.45],606843.85,70656,mul
[598022.81|581700.23|609793.57|607944.49|592596.55],598011.53,71680,mul
[603285.11|615583.97|622000.72|618339.56|588908.6],609623.59,72704,mul
[632612.8|622132.43|606911.44|607638.45|597880.64],613435.15,73728,mul
[596761.75|614778.67|599079.95|611595.07|633536.72],611150.43,74752,mul
[632174.0|616886.9|603292.03|617265.23|623017.41],618527.11,75776,mul
[637566.87|643370.56|629039.21|609786.24|609042.42],625761.06,76800,mul
[624934.91|617266.04|610991.7|609859.4|606353.23],613881.06,77824,mul
[597549.78|597385.74|604639.56|600117.75|610779.2],602094.41,78848,mul
[617121.55|638463.19|627628.73|619336.02|607688.03],622047.5,79872,mul
[598108.06|628099.33|621147.44|620669.46|627320.28],619068.91,80896,mul
[607465.99|623885.53|627970.21|638105.73|636321.03],626749.7,81920,mul
[639639.99|640505.34|662942.55|639705.85|641013.05],644761.36,82944,mul
[643105.62|640997.41|665304.05|656761.4|646982.36],650630.17,83968,mul
[652219.7|644657.93|642531.26|652977.22|671025.55],652682.33,84992,mul
[663769.63|639418.97|641230.81|672410.7|684866.01],660339.22,86016,mul
[681647.46|697753.59|689112.28|678403.1|672729.32],683929.15,87040,mul
[676890.29|648962.32|655652.05|642453.36|654756.88],655742.98,88064,mul
[673360.43|646272.59|677170.94|647745.0|662949.97],661499.79,89088,mul
[659641.97|678076.91|679464.07|674373.57|654471.75],669205.65,90112,mul
[658017.76|654177.17|666612.29|670126.63|723758.67],674538.5,91136,mul
[689372.69|688533.64|690315.35|697807.53|715573.51],696320.54,92160,mul
[712832.63|726014.68|737280.2|737069.86|700417.4],722722.95,93184,mul
[696554.54|690589.38|688983.24|681106.2|693916.73],690230.02,94208,mul
[668240.66|685723.37|706302.34|691843.01|675919.56],685605.79,95232,mul
[697338.77|684180.35|665010.63|669417.07|670750.13],677339.39,96256,mul
[677960.59|692541.52|687886.67|680547.11|679709.61],683729.1,97280,mul
[676497.87|673706.17|660522.14|689728.24|688523.28],677795.54,98304,mul
[780998.78|787912.91|777741.73|772355.68|797346.35],783271.09,99328,mul
[797409.07|779401.44|787927.11|782161.27|787179.28],786815.63,100352,mul
[811196.02|788547.69|806860.9|832650.0|794183.42],806687.61,101376,mul
[807107.88|812483.68|806530.73|760414.15|781182.5],793543.79,102400,mul
