0.time,0.time_avg,1.key_size,2.e
"[720.68, 641.57, 711.89]",691.38,64,3
"[1333.24, 870.16, 1286.46]",1163.29,128,3
"[1082.77, 1135.91, 1130.15]",1116.28,192,3
"[1978.72, 1542.14, 920.36]",1480.41,256,3
"[845.99, 743.39, 807.43]",798.94,64,17
"[1369.15, 1333.18, 1714.43]",1472.25,128,17
"[2450.38, 2588.59, 2789.64]",2609.54,192,17
"[1641.15, 1619.92, 1336.29]",1532.45,256,17
"[684.59, 763.88, 715.69]",721.39,64,65537
"[1305.95, 1219.74, 1092.52]",1206.07,128,65537
"[1222.2, 1852.74, 984.79]",1353.24,192,65537
"[3058.81, 1034.02, 2085.02]",2059.28,256,65537
