time,time_avg,msg_size
[313005.49|157064.85|327035.98|312990.59|309826.67],283984.72,928
[322179.38|314069.35|311266.14|314773.89|312107.58],314879.27,960
[312293.7|309660.25|310866.22|310051.67|311337.34],310841.84,992
[156367.85|153878.5|310268.08|310498.49|313198.37],248842.26,1024
[155928.87|309443.38|310611.79|309445.05|309947.08],279075.23,1056
[311695.8|310877.04|311991.58|153758.05|310496.05],279763.7,1088
[309726.53|310997.48|309783.72|312668.96|154551.93],279545.72,1120
[310701.65|312117.13|308535.25|311493.38|309235.95],310416.67,1152
[311030.23|153843.38|155990.88|152820.24|309456.72],216628.29,1184
[313325.56|309387.86|154299.29|309275.41|154319.37],248121.5,1216
[311501.07|311516.95|309945.34|312738.13|309028.11],310945.92,1248
[311418.91|311755.93|309369.09|312642.61|319549.04],312947.12,1280
[313244.85|309273.63|311545.5|310368.22|155928.15],280072.07,1312
[309420.55|311125.39|309568.05|310443.22|310653.1],310242.06,1344
[309961.94|311851.99|308487.24|315240.69|314831.96],312074.76,1376
[314693.73|153851.65|310261.6|309245.09|311729.05],279956.22,1408
[313377.46|311534.25|311303.69|313191.43|310532.73],311987.91,1440
[312242.03|309569.48|313698.44|312096.74|317313.99],312984.14,1472
[314742.2|314541.57|315880.95|323690.81|312343.15],316239.74,1504
[316522.43|314450.62|313375.93|316107.95|327023.37],317496.06,1536
[312875.89|313513.46|310643.56|155447.4|310148.93],280525.85,1568
[313386.7|320755.06|310226.5|313136.71|312340.56],313969.11,1600
[311685.4|311643.93|311877.65|311842.31|310695.34],311548.93,1632
[314169.49|319682.22|316566.15|314491.43|329269.33],318835.72,1664
[331769.11|344154.56|322080.28|321473.87|316441.42],327183.85,1696
[154622.72|314270.42|160672.26|160615.37|314333.3],220902.81,1728
[313875.51|311674.96|315502.75|313935.92|334113.77],317820.58,1760
[155768.18|312230.81|314684.14|312399.41|309565.11],280929.53,1792
[318790.27|319934.97|322818.22|165947.38|163153.21],258128.81,1824
[314275.22|156707.51|329878.61|336581.58|324179.46],292324.48,1856
[326607.33|314063.54|310622.63|313215.64|309159.85],314733.8,1888
[313156.69|334219.07|322771.17|327739.74|326112.63],324799.86,1920
[317860.86|313035.1|312531.21|311979.74|312749.0],313631.18,1952
[311318.44|155489.71|154859.5|311567.07|310862.79],248819.5,1984
[155930.09|309028.63|332919.67|338439.76|323872.9],292038.21,2016
[328090.6|340754.02|324411.32|332229.4|315710.5],328239.17,2048
[314428.94|153541.59|156594.99|154630.03|310913.32],218021.77,2080
[328699.45|321342.96|327293.63|315247.09|311496.71],320815.97,2112
[311672.4|307953.57|313691.72|310667.21|160842.74],280965.53,2144
[321919.58|320622.23|327492.26|153392.36|308942.09],286473.7,2176
[312711.43|309487.52|311028.17|309856.18|311437.19],310904.1,2208
[320475.01|324729.75|326694.72|320587.03|167826.23],292062.55,2240
[327754.62|321633.33|319412.14|309686.0|311778.04],318052.83,2272
[155757.99|311680.64|154088.26|318056.64|163764.15],220669.54,2304
[326322.97|324403.62|322146.66|310686.47|154700.92],287652.13,2336
[312208.68|309766.72|310808.2|311194.75|308124.35],310420.54,2368
[313021.85|155300.25|309642.25|308653.8|154189.67],248161.56,2400
[311964.78|310005.75|309134.68|153910.28|310819.82],279167.06,2432
[312561.34|311683.5|311278.78|311033.65|312359.62],311783.38,2464
[312878.19|310700.63|311641.8|312643.65|314478.68],312468.59,2496
[316172.91|309625.57|311439.32|308394.15|312935.02],311713.39,2528
[313719.12|314144.45|323474.31|325471.49|318198.08],319001.49,2560
[329543.67|324320.27|341067.19|323104.33|331304.21],329867.93,2592
[321224.84|315311.37|336674.24|325749.38|317394.16],323270.8,2624
[159044.51|325482.21|328876.85|176363.26|324065.65],262766.5,2656
[327014.51|314041.16|311497.41|310593.93|337421.9],320113.78,2688
[332104.83|316730.61|319615.8|334958.68|323135.91],325309.17,2720
[345671.99|160105.8|159180.13|315766.16|327754.86],261695.79,2752
[336155.07|159066.58|324438.8|325291.81|340982.5],297186.95,2784
[333887.35|334090.46|162513.65|338223.53|326996.84],299142.37,2816
[170948.53|326741.12|319777.14|324544.08|165524.96],261507.17,2848
[343124.09|328279.46|316466.13|318275.02|318199.76],324868.89,2880
[324506.85|365161.84|328604.66|172810.82|346662.46],307549.33,2912
[162400.16|156667.18|317148.81|312798.43|318057.63],253414.44,2944
[161682.88|333693.89|181282.06|157906.95|317201.47],230353.45,2976
[316734.11|155788.2|314927.22|311747.07|314649.29],282769.18,3008
[314893.46|318816.97|317461.6|317492.71|157728.12],285278.57,3040
[158981.03|313286.77|327435.51|315659.12|316696.51],286411.79,3072
[361323.84|344753.21|316712.16|332550.74|332564.77],337580.94,3104
[313290.34|311097.21|320803.17|350326.31|341478.34],327399.07,3136
[327786.73|360759.91|354954.96|329132.8|217992.33],318125.35,3168
[316185.36|352880.1|341477.09|316859.17|354528.26],336386.0,3200
[333339.44|355892.14|339381.77|155323.52|316278.83],300043.14,3232
[331450.27|161543.37|325614.09|193856.15|321643.46],266821.47,3264
[326552.08|315688.29|196198.75|328886.61|333812.32],300227.61,3296
[348993.07|332398.76|354531.78|325739.29|317306.13],335793.81,3328
[329190.29|316351.54|310715.27|314625.5|317377.11],317651.94,3360
[325176.38|325810.77|310126.47|320784.79|330515.78],322482.84,3392
[316261.74|160322.98|319906.96|156050.17|316519.8],253812.33,3424
[320967.31|155131.94|323009.21|315129.33|318622.53],286572.06,3456
[315685.66|316874.43|159342.6|356538.94|318955.41],293479.41,3488
[317323.37|181115.3|340298.81|160104.05|319826.54],263733.61,3520
[316026.22|314616.56|314532.81|325554.47|344921.3],323130.27,3552
[341046.82|333600.27|336640.06|312485.82|328048.5],330364.29,3584
[159609.61|317186.06|326031.09|321250.64|156906.58],256196.8,3616
[316692.11|314270.64|312644.7|156691.68|316396.55],283339.14,3648
[312379.71|314093.98|309378.79|311665.28|313091.17],312121.79,3680
[313834.64|309633.04|312493.32|156132.22|338227.53],286064.15,3712
[167169.31|314414.56|315229.2|328007.1|324355.25],289835.08,3744
[314057.58|309405.1|313623.62|154408.17|312528.8],280804.65,3776
[311053.56|311080.39|316954.66|311473.17|310538.12],312219.98,3808
[310497.27|154052.68|312942.85|310125.47|313650.44],280253.74,3840
[312742.75|154032.92|156525.75|311251.03|312252.03],249360.9,3872
[315196.15|312337.54|310600.05|317251.63|312650.62],313607.2,3904
[315476.44|310104.75|313063.53|310865.44|308617.89],311625.61,3936
[310288.86|310046.21|160224.26|309971.81|311953.53],280496.93,3968
[311369.84|310755.38|316144.86|310938.16|312628.11],312367.27,4000
[310003.49|309406.78|313279.05|310104.44|312069.97],310972.75,4032
[312584.65|307547.07|321579.02|308604.1|153008.54],280664.68,4064
[312615.36|153333.21|313163.38|306749.97|310745.27],279321.44,4096
